Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Facebook,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Similar Companies,Trend Score (90 Days),Patents Granted,Most Popular Patent Class,Trademarks Registered,Most Popular Trademark Class,Diversity Spotlight
Surface Technology International,https://www.crunchbase.com/organization/surface-technology-international,,"Electronics, Industrial Manufacturing, Mechanical Engineering, Product Design, Supply Chain Management","Hook, Hampshire, United Kingdom","Surface Technology International is an electronics manufacturer that provides integrated design, engineering, and manufacturing support.","83,582","Europe, Middle East, and Africa (EMEA)",RG27 9HX,$500M to $1B,Active,1989-01-01,year,,,,,For Profit,https://www.sti-limited.com,https://www.linkedin.com/company/sti-ltd/,https://www.facebook.com/pages/Surface-Technology-International-Philippines/1553692098224240,,+44 1256 768070,"Surface Technology International specializes in electronics design and manufacturing solutions in printed circuit board assembly (PCBA) and box-build manufacturing. They offer manufacturing services, from concept design, prototyping, and production through to complete box-build, including thermal vibration and full product testing. The company serves the aerospace, defense, and security sectors.",,,,,,,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Science and Engineering, Transportation",1.0,Simon Best,501-1000,1.0,,2024-07-03,11300000.0,GBP,14404612.0,Debt Financing,,,,,,,,11300000.0,GBP,14404612.0,Cynergy Business Finance,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,15.0,-0.7,,,,,
Elaisian,https://www.crunchbase.com/organization/elaisian,,"Agriculture, AgTech, Farming, Sensor","Roma, Lazio, Italy","Elaisian is a precision farming system that prevents diseases for olive groves, vineyards and almond trees.","84,332","European Union (EU), Europe, Middle East, and Africa (EMEA)",00177,$1M to $10M,Active,2016-11-01,month,,,,,For Profit,https://www.elaisian.com/,https://www.linkedin.com/company/10974771,https://www.facebook.com/elaisian,info@elaisian.com,,"Elaisian is a precision farming service that focuses on the preservation of olive trees.  By a system of algorithms based on a database of agronomic studies, the company is able to prevent diseases and to optimize cultivation processes such as irrigation and fertilization. The goal is to improve olive tree's life and the producer's work. ",,,,,,,,,,,,"Agriculture and Farming, Hardware",3.0,"Damiano Angelici, Gabriele Allegrini, Giovanni Di Mambro",11-50,8.0,Seed,2023-12-07,600000.0,EUR,647388.0,Convertible Note,800000.0,EUR,899247.0,Seed,2205000.0,EUR,2538651.0,2940000.0,EUR,3341911.0,"CDP Venture Capital, Lazio Innova, Regione Puglia, Startupbootcamp FoodTech Rome, InnoVaventures",1.0,6.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.0,-0.4,0.0,,1.0,Machines and machine tools,
AIO,https://www.crunchbase.com/organization/aio,,Manufacturing,"Tainan, T'ai-wan, Taiwan",AIO pushes the limits to create high quality enclosure solutions and all-in-one PCs with cutting edge designs.,"86,009",Asia-Pacific (APAC),,Less than $1M,Active,1999-01-01,year,,,,,For Profit,http://www.aio-group.com,,,sales@aio-group.com.cn,86-769-88342105,"A leading PC developer since 1999, AIO pushes the limits to create high quality enclosure solutions and all-in-one PCs with cutting edge designs. With 3 offices situated in 3 strategic locations, i.e. Taiwan (financial headquarter & sales), The Netherlands (design centre & sales) and China (manufacturing & sales), AIO takes advantage of local resources and provides fast and efficient service and support locally as well as countries within the region.",,,,,,,,,,,,Manufacturing,,,11-50,1.0,Seed,2018-07-30,2000000.0,USD,2000000.0,Seed,2000000.0,USD,2000000.0,Seed,2000000.0,USD,2000000.0,2000000.0,USD,2000000.0,Remark Holdings,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,6.0,3.9,,,,,
REJOINT,https://www.crunchbase.com/organization/rejoint,,"3D Technology, Artificial Intelligence (AI), Health Care, Machine Learning, Manufacturing, Medical","Bologna, Emilia-Romagna, Italy",Rejoint develops Artificial Intelligence driven 3D printed personalized knee replacements.,"88,087","European Union (EU), Europe, Middle East, and Africa (EMEA)",40138,$1M to $10M,Active,2015-06-30,day,,,,,For Profit,https://www.rejoint.life,https://www.linkedin.com/company/rejoint,,info@rejoint.life,+39 051 0238 555,"Rejoint is a start-up pioneer in new technology and surgical approaches in Total Knee Arthroplasty. It has developed a solution for knee replacement based on the integration of 3D Additive Manufacturing (AM), Artificial Intelligence (AI), and the Internet of Things (IoT), which enables the design of personalized implants and surgical simulation based on unique patient anatomy. The company is led by people with more than 20 years in the orthopedic industry and by previous members of worldwide leading medtech companies like Covidien, Smith&Nephew, Sorin, and Bellco. Rejoint was founded in 2015 and is based in Bologna, Italy.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Manufacturing, Science and Engineering, Software",2.0,"Gian Guido Riva, Lorenzo Riva",11-50,3.0,Early Stage Venture,2019-10-01,2000000.0,USD,2000000.0,Series A,2000000.0,USD,2000000.0,Series A,3665002.0,USD,3665002.0,6665002.0,USD,6665002.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,6.0,-0.4,3.0,Medical Or Veterinary Science; Hygiene,3.0,Medical apparatus and instruments,
SurgiQ,https://www.crunchbase.com/organization/surgiq,,"Artificial Intelligence (AI), Health Care, Machine Learning, Scheduling, Software","Genoa, Liguria, Italy","SurgiQ helps hospitals and clinics streamline planning, optimize resources, and make faster decisions.","91,043","European Union (EU), Europe, Middle East, and Africa (EMEA)",16121,Less than $1M,Active,2016-03-31,day,,,,,For Profit,https://www.surgiq.com,https://www.linkedin.com/company/15156552,,learn@surgiq.com,,"SurgiQ is an AI-driven healthcare technology company optimizing hospital operations through intelligent planning and scheduling solutions. With a focus on surgical procedures, chemotherapy, and rehabilitation, SurgiQ helps hospitals streamline workflows, reduce waiting times, and maximize resource efficiency. The company's patented AI technology ensures balanced workloads and optimal patient care while improving hospital financial performance. SurgiQ serves public and private healthcare institutions, offering a scalable, high-impact solution with measurable results. The company is growing 2x YoY and preparing for further international growth.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",3.0,"Arianna Poggi, Giuseppe Galatà, Ivan Porro",1-10,5.0,Seed,2023-10-01,170000.0,USD,170000.0,Convertible Note,495000.0,USD,495000.0,Seed,950000.0,USD,950000.0,1180000.0,USD,1180000.0,"CDP Venture Capital, Digital Magics, EIT Health, DigitalHealth.London Accelerator, The Birdhouse",4.0,7.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,51.0,-0.8,0.0,,2.0,Scientific and electric apparatus and instruments,
Emotiva,https://www.crunchbase.com/organization/emotiva,,"Analytics, Artificial Intelligence (AI), Computer Vision, Information Technology, Machine Learning","Milano, Lombardia, Italy",Emotiva is a deep tech artificial intelligence company specialized in measuring human's attention and affective states.,"91,468","European Union (EU), Europe, Middle East, and Africa (EMEA)",20146,Less than $1M,Active,2017-10-03,day,,,,,For Profit,https://www.emotiva.it,https://www.linkedin.com/company/emotiva-ai,https://www.facebook.com/emotivaitalia/,info@emotiva.it,+39 0287189207,"Emotiva is a deep tech artificial intelligence company specialized in measuring human's attention and affective states. It has developed computer vision and machine learning algorithms to detect and analyze micro facial movements encoded as Action Units (AUs), units of activation of a muscle or muscle groups that configure the expression of an emotion. Considering emotions a value of absolute importance, Emotiva has established the ethical-scientific committee that oversees the development of technology and ethics of artificial intelligence, taking into account the aspects related to privacy and GDPR laws. Emotiva actively collaborates with the PHuSE Lab, the Computer Science department of the University of Milan, and the top Italian Universities in computer vision and robotics fields for R&D activities. Emotiva has developed EmPower, a SaaS platform in media analytics, to analyze emotional responses and measure people's attention levels while watching content. It has made a process that used to be complex and costly, easy and fast. Today it is possible to get insights on unconscious response in just a few clicks. Thanks to EmPower, companies make more accurate decisions and avoid wasting their budget on target segments that are poorly connected emotionally or lack attention.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",3.0,"Andrea Lori, Andrea Sempi, Lorenzo Corbo",11-50,2.0,Seed,2021-11-03,610000.0,EUR,708512.0,Seed,610000.0,EUR,708512.0,Seed,720000.0,EUR,831651.0,720000.0,EUR,831651.0,LVenture Group,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7.0,-0.5,,,,,
Jobby,https://www.crunchbase.com/organization/jobby-2,,"Employment, Human Resources, Marketplace, Recruiting, Staffing Agency","Milano, Lombardia, Italy","Jobby is a B2B platform that provides ""work as a service"", where businesses can find, hire and manage temp workers in a matter of seconds.","91,671","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,Active,2016-07-26,day,,,,,For Profit,https://www.jobby.works,https://www.linkedin.com/company/jobby-srl/,https://www.facebook.com/jobbyworks/,amministrazione@jobby.works,+39 3485934766,"Jobby is a B2B platform that provides ""work as a service"", where businesses can find, hire and manage temp workers in a matter of seconds. Jobby wants to make work accessible to everyone. With their technology companies can find vetted workers in a matter of seconds and hire them for temporary jobs and gigs managing every aspect of the process with one single digital tool.",,,,,,,,,,,,"Administrative Services, Commerce and Shopping, Professional Services",1.0,Andrea Goggi,11-50,3.0,Seed,2022-02-28,2000000.0,EUR,2242872.0,Seed,2000000.0,EUR,2242872.0,Seed,3322872.0,USD,3322872.0,3322872.0,USD,3322872.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10.0,-0.1,,,,,
MCES,https://www.crunchbase.com/organization/mces,,"eSports, Gaming, Sports, Video Games","Marseille, Provence-Alpes-Cote d'Azur, France","MCES is a French esports organization bridging ""sport & esport""","91,779","European Union (EU), Europe, Middle East, and Africa (EMEA)",13011,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://www.mces.gg/,https://www.linkedin.com/company/mcesofficiel/,https://www.facebook.com/MCESofficiel/,contact@mces.gg,,"MCES is a French esports organization. Their MCES Gaming Center spaces are equipped with a dedicated fiber, many PC gamers and consoles to come practice your passion alone or in groups.With the experience in sports training and esport of their professional team MCES (coaches recognized on the professional esport scene and former sports titled like Yannick Agnel or Guy Demel), thy provide MCES Academy with a high-level approach to training. competitive practice of video games.",,,,,,,,,,,,"Gaming, Sports",3.0,"Romain Sombret, Sebastien Pinel, Xavier Kern",11-50,2.0,Early Stage Venture,2020-07-05,2800000.0,USD,2800000.0,Series A,2800000.0,USD,2800000.0,Series A,4800000.0,USD,4800000.0,4800000.0,USD,4800000.0,"Turenne Capital, Gilles Mischler",1.0,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,17.0,2.0,0.0,,2.0,Scientific and technological services,
Rubber Conversion,https://www.crunchbase.com/organization/rubber-conversion,,"Industrial, Plastics and Rubber Manufacturing, Wholesale","Cerea, Veneto, Italy",Rubber Conversion manufactures light trucks and automobile tires.,"93,221","European Union (EU), Europe, Middle East, and Africa (EMEA)",37053,,Active,2017-01-01,year,,,,,For Profit,https://www.rubberconversion.com,https://www.linkedin.com/company/rubber-conversion,,info@rubberconversion.com,+39 0442 333 259,"Rubber Conversion provides recycling, product sustainability, custom packaging, environmental impact analysis, material tracking, and online document management. Their customers contact them through phone, email, and online applications.",,,,,,,,,,,,"Commerce and Shopping, Manufacturing",1.0,Carlo Alberto Maggiolo,11-50,1.0,Early Stage Venture,2022-03-30,2500000.0,EUR,2790365.0,Series A,2500000.0,EUR,2790365.0,Series A,2500000.0,EUR,2790365.0,2500000.0,EUR,2790365.0,"LIFTT, CDP Equity",,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,11.0,0.3,,,,,
Hygge,https://www.crunchbase.com/organization/hygge-3930,,Pet,"Lucca, Toscana, Italy",Hygge is a pet food company.,"93,346","European Union (EU), Europe, Middle East, and Africa (EMEA)",55100,,Active,2020-01-01,year,,,,,For Profit,https://www.hygge-dog.com,https://www.linkedin.com/company/hygge-dog/,,sales@hygge-dog.com,,"Hygge provides a portion of pet food to create the perfect kibble for dogs, giving the right kibble for our dogs is the first step to keeping them healthy and happy for a long time.",,,,,,,,,,,,Community and Lifestyle,4.0,"Giada Iacopini, Martina Terigi, Nicole Decanini, Samuele Nannini",11-50,3.0,Seed,2025-04-28,,,,Grant,300000.0,EUR,321988.0,Seed,300000.0,EUR,321988.0,300000.0,EUR,321988.0,"Amazon Sustainability Accelerator, PranaVentures, SocialFare, Emanuele Minetti, Anna De Stefano",2.0,6.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9.0,4.5,0.0,,1.0,Agricultural products; live animals,
Fitwell,https://www.crunchbase.com/organization/fitwell,,"Fitness, Health Care, mHealth","London, England, United Kingdom",Fitwell is a wellness A.I. start-up focused on providing contextual holistic coaching combining fitness and wellness.,"93,419","Europe, Middle East, and Africa (EMEA)",W8 5EH,Less than $1M,Active,2014-01-01,year,,,,,For Profit,https://www.fitwell.co,https://www.linkedin.com/company/fitwellcoach,https://www.facebook.com/fitwellcoachapp,,,Fitwell is an AI powered fit-tech company that helps time starved people be fitter and healthier through a state of the art mobile app and bot. Fitwell has more than 1.6 million members globally and been selected Best of PlayStore and Top Developer by Google; featured among best apps by Apple. The company has been rated as one of the top start-ups by Early Metrics. Fitwell was named among top 10 AI companies in Fitness Tech industry to watch in 2018 by Disruptor Daily.,,,,,,,,,,,,"Health Care, Mobile, Sports",1.0,Baris Ozaydinli,11-50,5.0,Seed,2018-05-01,1025000.0,USD,1025000.0,Seed,1025000.0,USD,1025000.0,Seed,1535000.0,USD,1535000.0,1867529.0,USD,1867529.0,"Founders Factory, Microsoft Accelerator, Valuta Capital Partners, Microsoft Accelerator London",,4.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,5.0,0.0,0.0,,1.0,"Pharmaceutical, veterinary and sanitary products",
Irreo,https://www.crunchbase.com/organization/irreo,,"AgTech, Farming, Mobile Apps, Sustainability","Rome, Lazio, Italy",Plan irrigation wisely without the need to install any sensor on the field,"93,513","European Union (EU), Europe, Middle East, and Africa (EMEA)",00173,,Active,2019-07-15,day,,,,,For Profit,https://irreo.nodriver.ai/,https://www.linkedin.com/company/irreo,https://www.facebook.com/irreo.nodriver,info@irreo.ai,,"We enable agricultural and ornamental operators to automatize their irrigation system in a smart and efficient way to counter drought problems due to ongoing climate change.  Launched in 2021, Irreo can provide dynamic and optimal irrigation scheduling using different types of satellite data without the need to install any sensors in the field. In addition, through our innovative control system and thanks to our field controllers, our customers can manage irrigation and fertigation directly from their smartphones.",,,,,,,,,,,,"Agriculture and Farming, Apps, Mobile, Software, Sustainability",,,11-50,2.0,Seed,2022-11-23,850000.0,EUR,885543.0,Seed,850000.0,EUR,885543.0,Seed,1700000.0,EUR,1722270.0,1700000.0,EUR,1722270.0,"Primo Capital, Lazio Innova, Digital Magics",1.0,3.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7.0,0.8,,,,,
Wesii,https://www.crunchbase.com/organization/wesii,,"Renewable Energy, Software","Chiavari, Liguria, Italy",Using top thermographic technology to provide a quick and easy way to track PV plant maintenance.,"93,701","European Union (EU), Europe, Middle East, and Africa (EMEA)",16043,Less than $1M,Active,2016-01-01,year,,,,,For Profit,https://wesii.com/,https://www.linkedin.com/company/wesii-s.r.l.,https://www.facebook.com/WeSiiOfficial,sales@wesii.com,391-495-7045,"WESII S.r.l is a company based on the extensive international experience in the hyper and multispectral aerial inspections and analysis. One of the main focuses of the continuous research and specialization is remote sensing and advanced thermography with the obtainment of II level certify UNI EN 473 of Wesii’s technicians. The company’s core business consists in the provision of high-quality analysis of aerial inspections conducted using drones and remote thermal/multispectral sensor mainly in the photovoltaic industry. WESII offers an innovative technological approach to solve those problems by investing in research and continuous development which lead to providing a series of practices that help O&M companies, asset managers and PV plant owners to speed up the maintenance process and lower its costs.",,,,,,,,,,,,"Energy, Software, Sustainability",,,11-50,2.0,,2024-03-08,2800000.0,EUR,3064181.0,Venture - Series Unknown,2800000.0,EUR,3064181.0,Venture - Series Unknown,3025000.0,EUR,3321234.0,3025000.0,EUR,3321234.0,"Banca Patrimoni Sella & C., DXT Commodities",,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,-0.2,,,,,
KPI6,https://www.crunchbase.com/organization/kpi6,,"Brand Marketing, Business Intelligence, Market Research, Predictive Analytics, Reputation, Software","Rubiera, Emilia-Romagna, Italy",Transform the way companies launch market research by providing a tool that gives a 360-degree view of consumers’ digital life.,"94,093","European Union (EU), Europe, Middle East, and Africa (EMEA)",42048,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://kpi6.com,https://linkedin.com/company/kpi6,https://www.facebook.com/kpi6com,info@kpi6.com,,"KPI6 is a consumer intelligence suite that helps businesses identify consumer needs, critical insights, and audiences. It provides a company with the critical strategic insights it requires to drive innovation, opportunity assessment, strategic planning, segmentation, creative development, and media strategy by utilizing alternative unsolicited and more relevant sources such as online reviews, social and web panels, digital open data, and more.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Sales and Marketing, Software",1.0,Alberto Nasciuti,11-50,7.0,,2022-03-05,935000.0,EUR,1021698.0,Venture - Series Unknown,935000.0,EUR,1021698.0,Venture - Series Unknown,1974204.0,EUR,2181437.0,2374204.0,EUR,2643003.0,"MassChallenge, UniCredit, Banco BPM, LVenture Group",1.0,4.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.0,-0.4,0.0,Computing; Calculating,0.0,,
QLASH,https://www.crunchbase.com/organization/qlash,,"Content Creators, Digital Media, eSports, Event Promotion, Gaming","Villorba, Veneto, Italy",QLASH is an Esports organization that aims to promote and bring innovation to the Esports industry.,"94,484","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://qlash.gg/,https://www.linkedin.com/company/team-qlash/,https://www.facebook.com/QLASHGlobal/,info@qlash.gg,,"QLASH is an Esports organization that aims to promote and bring innovation to the Esports industry. QLASH manages professional Esports teams, organizes community and competitive events, and manages a network of streamers and content creators.",,,,,,,,,,,,"Events, Gaming, Media and Entertainment, Sports",2.0,"Eugene Katchalov, Luca Pagano",11-50,2.0,Seed,2022-06-22,1156281.0,EUR,1221592.0,Seed,1156281.0,EUR,1221592.0,Seed,2324714.0,EUR,2604783.0,2324714.0,EUR,2604783.0,"Uday Kumar Bangalore Shivaraman, Daniel Cates",,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7.0,-0.6,,,,,
Ingino,https://www.crunchbase.com/organization/ingino,,"Food Processing, Fruit","Milano, Lombardia, Italy",Ingino is an italian fruit puree producer.,"96,064","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,1950-01-01,year,,,,,For Profit,https://www.ingino.it,https://www.linkedin.com/company/ingino-spa/,,,,Ingino is an italian fruit puree producer.,,,,,,,,,,,,Food and Beverage,,,101-250,1.0,,2020-05-12,8500000.0,EUR,9218849.0,Venture - Series Unknown,8500000.0,EUR,9218849.0,Venture - Series Unknown,8500000.0,EUR,9218849.0,8500000.0,EUR,9218849.0,Dea Capital Alternative Funds,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.0,1.8,,,,,
Change Capital,https://www.crunchbase.com/organization/change-capital,,"Financial Services, FinTech, Marketplace","Arezzo, Toscana, Italy",Change Capital is a fintech company which is a marketplace for corporate finance.,"97,459","European Union (EU), Europe, Middle East, and Africa (EMEA)",52100,,Active,2019-01-01,year,,,,,For Profit,https://www.changecapital.it/,https://www.linkedin.com/company/changecapital,https://www.facebook.com/changecap/,segreteria@changecapital.it,+39 351 0316523,"Change Capital offers solutions to help professionals and businesses maximize their potential by leveraging the digital ecosystem of integrated financial services. Through its digital platform, the company provides corporate finance services for the credit access system, invoice trading, reverse factoring, facilitated finance, and digital services, thereby providing clients with numerous solutions eligibility for alternative finance, subsidized finance, and insurance in real-time.",,,,,,,,,,,,"Commerce and Shopping, Financial Services",,,51-100,3.0,,2023-07-21,,,,Corporate Round,,,,Corporate Round,1700000.0,EUR,1706488.0,1700000.0,EUR,1706488.0,"Banca Valsabbina, Banca Popolare di Cortona",2.0,2.0,1.0,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,3.0,0.0,0.0,,2.0,Advertising; business,
DAIMANI,https://www.crunchbase.com/organization/daimani,,"Hospitality, Marketplace, Media and Entertainment, Sports","Zürich, Zurich, Switzerland",The DAIMANI marketplace connects official providers of VIP Hospitality packages with corporate or individual customers.,"100,820","Europe, Middle East, and Africa (EMEA)",8002,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://www.daimani.com/,https://www.linkedin.com/company/daimani/,https://www.facebook.com/daimani.live/,socialmedia@daimani.com,41 44 562 05 11,The DAIMANI marketplace connects official providers of VIP Hospitality packages with corporate or individual customers.,,,,,,,,,,,,"Commerce and Shopping, Media and Entertainment, Sports, Travel and Tourism",,,11-50,1.0,,2022-12-21,1600000.0,CHF,1726598.0,Corporate Round,1600000.0,CHF,1726598.0,Corporate Round,1600000.0,CHF,1726598.0,1600000.0,CHF,1726598.0,PIA,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.0,-0.6,0.0,,2.0,Scientific and electric apparatus and instruments,
Tomato+,https://www.crunchbase.com/organization/tomato-c7c5,,"AgTech, Food and Beverage","Borgosatollo, Lombardia, Italy","Tomato+ is an indoor greenhouse that allows users to grow vegetable sprouts, herbs, and salads.","100,996","European Union (EU), Europe, Middle East, and Africa (EMEA)",25010,$1M to $10M,Active,2016-02-02,day,,,,,For Profit,http://www.tomatopiu.com,https://www.linkedin.com/company/tomatopiu,https://www.facebook.com/tomatopiu/,info@tomatopiu.com,00390302501314,"Tomato + is a plug-and-play greenhouse for hydroponic herb, vegetable, and sprout growing using biodegradable pods. Tomato+ hydroponic greenhouses are suitable for both residential and commercial use, as well as for Ho.Re.Ca. and large-scale distribution.",,,,,,,,,,,,"Agriculture and Farming, Food and Beverage",1.0,Daniele Rossi,1-10,3.0,Seed,2021-11-15,1017717.0,EUR,1156838.0,Seed,1017717.0,EUR,1156838.0,Seed,3567717.0,EUR,4146970.0,3567717.0,EUR,4146970.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.0,1.3,1.0,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,0.0,,
PunchLab,https://www.crunchbase.com/organization/punchlab,,"Fitness, Sports","Rome, Lazio, Italy","PunchLab is a mobile App that will turn punching bags into devices that are able to detect, measure, and react to strikes.","101,037","European Union (EU), Europe, Middle East, and Africa (EMEA)",00185,Less than $1M,Active,2019-07-02,day,,,,,For Profit,https://punchlab.net,https://www.linkedin.com/company/28169316/,https://www.facebook.com/punchlabapp/,info@punchlab.net,,"PunchLab is a Mobile App that will turn your punching bag into a device able to detect, measure, and react to your strikes. No additional device other than your smartphone is needed. It uses the existing technology in your phone to give you real-time feedback on your bag workout and offers training routines pre-programmed by world-level athletes. ",,,,,,,,,,,,Sports,2.0,"Simone Carcone, Valerio Raco",1-10,3.0,Seed,2021-07-04,838750.0,EUR,994404.0,Seed,838750.0,EUR,994404.0,Seed,1138750.0,EUR,1322892.0,1138750.0,EUR,1322892.0,"Primo Capital, Azimuth Capital Management, Sport Horizon Holding S.p.a., LVenture Group",2.0,4.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7.0,-0.1,,,,,
Cesarine,https://www.crunchbase.com/organization/le-cesarine,,"Food and Beverage, Leisure, Travel","Bologna, Emilia-Romagna, Italy",Leading Italian platform in local food experiences.,"101,067","European Union (EU), Europe, Middle East, and Africa (EMEA)",40125,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://cesarine.com,https://www.linkedin.com/company/11252764,https://www.facebook.com/LeCesarineIT/,info@cesarine.com,,"CESARINE is the leading Italian Food&Experience platform. The mission is to enable people to enjoy authentic food experiences with local hosts, fostering local food heritage and sustaining the local economy.",,,,,,,,,,,,"Community and Lifestyle, Food and Beverage, Travel and Tourism",1.0,Davide Maggi,11-50,3.0,Seed,2021-09-21,1100000.0,GBP,1502402.0,Seed,1100000.0,GBP,1502402.0,Seed,2703479.0,USD,2703479.0,2703479.0,USD,2703479.0,"CDP Venture Capital, Roberto Nicastro, Marco Airoldi, Emmanuel Osti, Daniele Ferrero",,9.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.0,0.1,0.0,,1.0,Hand tools and implements,
Userbot,https://www.crunchbase.com/organization/userbot,,"Analytics, Artificial Intelligence (AI), Customer Service, Human Computer Interaction, Information Technology, Machine Learning, Virtual Assistant","Milan, Lombardia, Italy",Userbot is an AI powered customer interaction platform,"101,210","European Union (EU), Europe, Middle East, and Africa (EMEA)",20145,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://userbot.ai/,https://www.linkedin.com/company/userbot/,https://www.facebook.com/userbotai/,ciao@userbot.ai,,"Userbot is not just a simple chatbot, it is the first real Artificial Intelligence that automates conversations between companies and people. Userbot helps you to reply to all messages quickly, easily and in a personalized manner.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Other, Professional Services, Science and Engineering, Software",4.0,"Antonio Giarrusso, Jacopo Paoletti, Marco Muracchioli, Ricardo Piana",11-50,7.0,Seed,2019-05-07,688000.0,EUR,769844.0,Seed,688000.0,EUR,769844.0,Seed,2378415.0,EUR,2761848.0,2449844.0,EUR,2843716.0,"EASME, Enrico Bruschini",,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.0,-0.8,1.0,,2.0,Scientific and electric apparatus and instruments,
Wibo,https://www.crunchbase.com/organization/wibo-51cc,,"Digital Entertainment, EdTech, Education, Edutainment, Gaming","Turin, Piemonte, Italy","We help corporates retaining talents using a community based, mobile first learning platform","101,847","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,Active,2019-12-23,day,,,,,For Profit,https://wibo.app,https://www.linkedin.com/company/wiboapp,,tommaso@wibo.app,+393478376677,"Wibo helps corporates retaining talents using a community based, mobile first learning platform. Differently from traditional e-learning, we combines micro-learning contents with live workshops and learning games and guarantee a completion rate of 98% that translates in lower turn-over and a higher employee productivity. We work with top executives from fortune 100 companies to create amazing content.",,,,,,,,,,,,"Education, Gaming, Media and Entertainment, Software",2.0,"Alessandro Busso, Tommaso Seita",11-50,3.0,Seed,2023-03-03,120000.0,USD,120000.0,Pre-Seed,120000.0,USD,120000.0,Pre-Seed,352764.0,USD,352764.0,352764.0,USD,352764.0,Techstars,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7.0,-0.4,,,,,
