Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Facebook,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Similar Companies,Trend Score (90 Days),Patents Granted,Most Popular Patent Class,Trademarks Registered,Most Popular Trademark Class
Bazaar,https://www.crunchbase.com/organization/bazaar-2,,"B2B, Logistics, Small and Medium Businesses, Supply Chain Management","New York, New York, United States",Bazaar is New York City's largest online B2B food service distributor.,"79,027","Greater New York Area, East Coast, Northeastern US",10018,$10M to $50M,Active,2016-01-01,year,,,,,For Profit,http://www.accessbazaar.com,https://www.linkedin.com/company/bazaar-technologies,https://www.facebook.com/bazaartech,info@accessbazaar.com,,Bazaar is a wholesale food service distributor and logistics platform for high volume recurring SMB purchases.,,,,,,,,,,,,"Other, Transportation",2,"Julian Rodriguez, Yasser Toruno",11-50,1,,2017-01-01,1300000,USD,1300000,Convertible Note,,,,,,,,1300000,USD,1300000,"Brooklyn Bridge Ventures, Lattice Ventures, Joanne Wilson, Caerus Investment Partners, Marco Zappacosta",1,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,-0.2,,,,
CleverShuttle,https://www.crunchbase.com/organization/clevershuttle,,"B2B, Ride Sharing, Taxi Service, Transportation","Berlin, Berlin, Germany",CleverShuttle is a ridepooling app that provides affordable and eco-friendly door-to-door transportation.,"79,268","European Union (EU), Europe, Middle East, and Africa (EMEA)",10963,$10M to $50M,Active,2014-01-01,day,2018-09-05,day,,,For Profit,http://clevershuttle.de,https://www.linkedin.com/company/clevershuttle,https://www.facebook.com/CleverShuttle/,support@clevershuttle.de,,"CleverShuttle is a ridepooling app that provides affordable and eco-friendly door-to-door transportation. The berlin-based company CleverShuttle was founded by three school friends in 2014. Since then they have grown to the biggest RidePooling-Provider and ecofriendly driver service in Germany. Due to their fuellcell or battery electric vehicles, CleverShuttle is able to support a sustainable change in the mobility sector. They developed an algorithm, that automatically pooles passengers with similar routes. Thereby they achieve very high occupancy rates and reduce empty runs.",,,,,,,,,,,,"Other, Transportation",3,"Bruno Ginnuth, Jan Hofmann, Slava Tschurilin",501-1000,5,M&A,2019-10-17,,,,Corporate Round,,,,Corporate Round,5035000,EUR,5454802,5035000,EUR,5454802,"Mitsui & Co, Deutsche Bahn, Unger Group, EvoBus, TED Beteiligungs GmbH",1,5,,Was Acquired,CleverShuttle acquired by Deutsche Bahn,https://www.crunchbase.com/acquisition/deutsche-bahn-acquires-clevershuttle--ffe9f0ea,Deutsche Bahn,https://www.crunchbase.com/organization/deutsche-bahn,2018-09-05,day,,,,Acquisition,,Private,,,,,,,,,,,,,16,-0.1,,,,
Kippy,https://www.crunchbase.com/organization/kippy,,"Consumer Electronics, Internet of Things, Pet, Wearables","Milano, Lombardia, Italy",Kippy is a IoT device that combines real time GPS tracking and physical activity monitoring of your four-legged friend.,"80,465","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Closed,2013-05-16,day,2023-05-28,day,,none,For Profit,https://www.kippy.eu,https://www.linkedin.com/company/kippy-the-pet-finder/,https://www.facebook.com/kippypet,s.sangiorgi@kippy.eu,+39 02 84568289,Kippy is an IoT device that combines real time GPS tracking and physical activity monitoring of your four-legged friend.,,,,,,,,,,,,"Community and Lifestyle, Consumer Electronics, Hardware, Internet Services",1,Simone Sangiorgi,11-50,8,M&A,2022-12-21,2600000,EUR,2758094,Series A,2600000,EUR,2758094,Series A,9998049,USD,9998049,9998049,USD,9998049,"Oltre Impact, Growth Engine, iStarter, Moffu Labs, Fabio Mondini de Focatiis",2,7,,Was Acquired,Kippy acquired by Datamars,https://www.crunchbase.com/acquisition/datamars-acquires-kippy--a3fce6c8,Datamars,https://www.crunchbase.com/organization/datamars,2023-05-28,day,,,,Acquisition,,Private,,,,,,,,,,,,,7,-0.2,0,,2,Scientific and electric apparatus and instruments
Sophia,https://www.crunchbase.com/organization/sophia-335f,,"Consulting, Health Care, Human Resources, Medical, Mental Health, Psychology","Boston, Massachusetts, United States",Sophia is an online platform that matches people with licensed mental health therapists.,"81,387","Greater Boston Area, East Coast, New England",,,Closed,2017-01-01,year,,,2018-01-01,year,For Profit,https://www.trysophia.com/,https://www.linkedin.com/company/trysophia/,https://business.facebook.com/trysophia,founders@trysophia.com,,"Sophia is an online platform that matches people with licensed mental health therapists. Founded in 2017, the company is backed by Techstars and MIT delta v.",,,,,,,,,,,,"Administrative Services, Health Care, Professional Services",3,"Bowen Lu, Chetan Jhaveri, Eva Breitenbach",1-10,3,Seed,2018-01-22,,,,Convertible Note,120000,USD,120000,Pre-Seed,120000,USD,120000,120000,USD,120000,"Techstars, MIT delta v",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,5.1,,,,
Picosats,https://www.crunchbase.com/organization/picosats,,"Aerospace, Communications Infrastructure, Information Technology, Satellite Communication, Software, Telecommunications","Trieste, Friuli-Venezia Giulia, Italy",Picosats is a developer of telecommunication systems for cubesats.,"84,188","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://picosats.eu,https://www.linkedin.com/company/picosats-srl/,https://www.facebook.com/picosats/,info@picosats.eu,+39 040 375 5445,"PicoSaTs envisages a new generation of telecommunication systems for space applications dedicated to CubeSat pico-satellites. The key technologies at the core of this system are a software defined radio and a highly directive and configurable antenna, operating at higher frequencies (Ka band), and providing very high data rates.",,,,,,,,,,,,"Hardware, Information Technology, Science and Engineering, Software",4,"Alessandro Cuttin, Anna Gregorio, Mario Fragiacomo, Mauro Messerotti",1-10,3,,2023-07-11,2130000,EUR,2346032,Venture - Series Unknown,2130000,EUR,2346032,Venture - Series Unknown,2630000,EUR,2914137,2680000,EUR,2973193,"CDP Venture Capital, LIFTT, EASME",3,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,20,-0.8,1,Electric Communication Technique,1,Scientific and electric apparatus and instruments
ATS Corporation,https://www.crunchbase.com/organization/ats-automation-tooling-systems,,"Industrial Automation, Manufacturing, Mechanical Engineering, Sales","Cambridge, Ontario, Canada",ATS Corporation is an automation technology to scale advanced factory automation solutions.,"86,685",Great Lakes,,$1B to $10B,Active,1978-01-01,year,1993-12-22,day,,,For Profit,http://www.atsautomation.com,http://www.linkedin.com/company/atsautomation,http://www.facebook.com/atsfactoryautomation,info@atsautomation.com,(519) 653-6500,"ATS Automation Tooling Systems is an automation technology to scale advanced factory automation solutions.ATS uses its extensive knowledge base and global capabilities in custom automation, repeat automation, automation products, and value-added services, including pre-automation and after-sales services, to address the sophisticated manufacturing automation systems and service needs of multinational customers in markets such as life sciences, food & beverage, transportation, consumer products, and energy.",,,,,,,,,,,,"Manufacturing, Sales and Marketing, Science and Engineering",1,Klaus Woerner,5001-10000,4,IPO,2024-12-16,200000000,CAD,140499758,Post-IPO Debt,282900000,USD,282900000,Post-IPO Equity,282900000,USD,282900000,834584180,USD,834584180,,,,12,Made Acquisitions,,,,,,,,,,,,Public,1993-12-22,,,,,,,,,ATS,https://www.crunchbase.com/ipo/ats-automation-tooling-systems-ipo--ee676915,TSX - Toronto Stock Exchange,34,-1.3,132,Conveying; Packing; Storing; Handling Thin Or Filamentary Material,8,Machines and machine tools
ToothPic,https://www.crunchbase.com/organization/toothpic,,"Cyber Security, Image Recognition, Information Technology, Software","Torino, Piemonte, Italy",ToothPic provides solutions on technologies for the recognition of photographic devices.,"88,149","European Union (EU), Europe, Middle East, and Africa (EMEA)",10129,$1M to $10M,Active,2016-12-06,day,,,,,For Profit,http://www.toothpic.eu,https://www.linkedin.com/company/toothpic,https://www.facebook.com/toothpic.eu,info@toothpic.eu,+39 340 290 50 60,"ToothPic provides solutions on technologies for the recognition of photographic devices. ToothPic’s mission is turning every smartphone into a secure and user-friendly key for user authentication. ToothPic is an official university spin-off of Politecnico di Torino, a major engineering school in Italy and Europe, and is incubated in the university incubator I3P, recently recognized by UBI Global as the best public incubator worldwide.  ToothPic was founded by a team of 4 researchers and professors from Politecnico di Torino, and in 2018 received a seed from VV3TT, an Italian Venture Capital fund dedicated to Technology Transfer from public research. ToothPic technology is protected by 4 patents, and won several prizes in competitions dedicated to startups and twice the Seal of Excellence issued by the European Commission.  ToothPic’s target is the market of authentication systems. Its technology recognizes the unique pattern of invisible imperfections that characterize smartphone cameras to protect cryptographic keys stored on devices, that are commonly used for user authentication, digital signature, blockchain related applications. The additional layer of security represented by this random unclonable feature can be obtained with no additional hardware and related costs.  A Software Development Kit has been developed for Android and iOS. It can be integrated into existing third-party apps and authentication systems, allowing the device possession verification by (de)obfuscating asymmetric cryptographic keys. Users’ credentials are not stored in a centralized service provider server - representing a single point of failure exploitable by an attacker, but they are distributed on users’ devices. Hence, an adversary willing to violate those credentials should target each single user device, facilitating for service providers the migration from an on premises architecture to the cloud, because they don’t need to manage sensitive users credentials, but only their public key.",,,,,,,,,,,,"Data and Analytics, Information Technology, Privacy and Security, Software",1,Giulio Coluccia,1-10,2,Seed,2021-01-19,810000,EUR,983306,Seed,810000,EUR,983306,Seed,1110000,EUR,1349588,1110000,EUR,1349588,"Club degli Investitori, Vertis Venture 3 Tech Transfer",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4,2.9,0,,3,Scientific and electric apparatus and instruments
Soisy,https://www.crunchbase.com/organization/soisy,,"Consumer Lending, E-Commerce, Financial Services, FinTech, Payments","Milan, Lombardia, Italy","Soisy is an Italian Payment Institution offering installment payments at point-of-sale (POS), financed via marketplace lending.","88,782","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,2015-01-01,year,2022-10-13,day,,none,For Profit,https://www.soisy.it/,https://www.linkedin.com/company/soisy/,https://www.facebook.com/soisy.it,,,"Soisy is an Italian Payment Institution offering installment payments at point-of-sale (POS), financed via marketplace lending.",,,,,,,,,,,,"Commerce and Shopping, Financial Services, Lending and Investments, Payments",3,"Andrea Sandro, Marco Anzelmo, Pietro Cesati",11-50,5,M&A,2020-11-06,1900000,USD,1900000,Seed,1900000,USD,1900000,Seed,8316955,USD,8316955,8316955,USD,8316955,Startupbootcamp FinTech & CyberSecurity,,1,,Was Acquired,Soisy acquired by Compass Banca,https://www.crunchbase.com/acquisition/compass-banca-s-p-a-acquires-soisy--22991377,Compass Banca,https://www.crunchbase.com/organization/compass-banca-s-p-a,2022-10-13,day,,,,Acquisition,,Private,,,,,,,,,,,,,7,-0.4,0,,4,Insurance; financial affairs
Wetaxi,https://www.crunchbase.com/organization/wetaxi,,"Mobile Apps, Public Transportation, Transportation","Turin, Piemonte, Italy",Wetaxi is a mobile app that allows users to book a taxi to take them wherever they want to go.,"90,050","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://wetaxi.it/,https://www.linkedin.com/company/wetaxi,https://it-it.facebook.com/wetaxi.italia/,info@wetaxi.it,,"Wetaxi offers taxi solutions for freelancers, small businesses, and large corporations. They offer taxi management software and provide payment options, detailed reports, expense reports, and electronic invoice receipts. Wetaxi also provides an innovative service that allows passengers to know the cost of the ride ahead of time and share the taxi on some routes, saving up to 50% on travel costs.",,,,,,,,,,,,"Apps, Mobile, Software, Transportation",3,"Luca Gobbato, Massimiliano Curto, Michael Wai",11-50,4,,2023-07-24,2000000,EUR,2212607,Venture - Series Unknown,2000000,EUR,2212607,Venture - Series Unknown,5300000,EUR,5861078,5300000,EUR,5861078,"Club degli Investitori, Growth Engine, Azimut Libera Impresa, Fondo Rilancio Startup",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,11,-0.4,0,,3,Scientific and electric apparatus and instruments
Snowit,https://www.crunchbase.com/organization/snowit,,"E-Commerce, Sports, Travel","Milano, Lombardia, Italy",Snowit is the online travel agency for winter sports holidays,"90,107","European Union (EU), Europe, Middle East, and Africa (EMEA)",20124,$1M to $10M,Active,2016-10-01,month,,,,,For Profit,https://www.snowitexperience.com,https://www.linkedin.com/company/10875799/,https://www.facebook.com/snowitapp/,info@snowitapp.com,,"Snowit is a smart online travel agency that aggregates in one platform all the services for skiers and snowboarders: skipass, equipment rent, ski lessons, experiences and accommodation. Booking snow activities online is not easy, the online market is highly fragmented and poorly organized. In fact, each ski area has its own website and skipass online purchases can generally be done only when already owning the local skipass card. Besides the skipass, booking online a full holiday on the snow is complex because of the lack and fragmentation of the offer. Snowit aims at becoming the reference point for winter-related services in multiple ski areas across Europe, allowing users to easily organize their holidays on the snow by booking online all the services they need from accommodation to ski lessons. Moreover, the Snowitcard, that allows to purchase online the ski pass for all ski resorts in the circuit and to go directly at the lift, is a powerful instrument of promotion and loyalty. Snowit booking engine allows also user to compare the total cost of holiday for multiple destination and to recommend the best destination depending on user profile and needs.",,,,,,,,,,,,"Commerce and Shopping, Sports, Travel and Tourism",3,"Giuseppe Mayer, Pasquale Scopelliti, Riccardo Maggioni",11-50,5,,2021-12-15,2500000,EUR,2822540,Venture - Series Unknown,2500000,EUR,2822540,Venture - Series Unknown,3247000,EUR,3675348,3547000,EUR,4025402,Fnm,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,6,0,,,,
Bestest,https://www.crunchbase.com/organization/bestest,,"Apps, Communities, Software","Westport, Connecticut, United States",Bestest is a mobile application that enables the user to poll the public and vote right from your phone.,"90,714","East Coast, New England, Northeastern US",06880,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://www.bestestpolls.com/,https://www.linkedin.com/company/bestestpolls/,https://www.facebook.com/bestestpolls/,contact@mybestestapp.com,,"Bestest is a mobile application that enables the user to poll the public and vote right from your phone. It brings everyone the power to collect usable insights, answers and feedback on the issues of the day through real-time opinion research. The company was founded in 2015 and is headquartered in Westport, Connecticut.",,,,,,,,,,,,"Apps, Community and Lifestyle, Software",1,Kelly Helmuth,1-10,1,Seed,2017-09-01,750000,USD,750000,Seed,750000,USD,750000,Seed,750000,USD,750000,750000,USD,750000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,6,1,,,,
Relicta,https://www.crunchbase.com/organization/relicta,,"Biotechnology, Manufacturing, Plastics and Rubber Manufacturing, Product Research, Sustainability","Sassari, Sardegna, Italy",Relicta creates and develops water-soluble bioplastic products from fish processing waste.,"91,224","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2017-01-01,year,,,,,For Profit,https://www.relictabioplastics.com/,https://www.linkedin.com/company/relicta-innovation-of-packaging,https://www.facebook.com/relictabioplastics/,info@relictabioplastics.com,+39 388 760 0254,"Relicta creates and develops water-soluble bioplastic products from fish processing waste. It is based in Sassari, Italy.",,,,,,,,,,,,"Biotechnology, Data and Analytics, Design, Manufacturing, Science and Engineering, Sustainability",1,Mariangela Melino,1-10,1,Private Equity,2022-12-21,500000,EUR,530403,Private Equity,500000,EUR,530403,Private Equity,500000,EUR,530403,500000,EUR,530403,Scientifica Venture Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,14,2.6,,,,
Prestiamoci,https://www.crunchbase.com/organization/prestiamoci,,"Finance, Financial Services, Internet","Milano, Lombardia, Italy",Prestiamoci is an Italian online community that enables individuals to make profitable investments and obtain loans.,"93,713","European Union (EU), Europe, Middle East, and Africa (EMEA)",20121,$10M to $50M,Active,2007-01-01,year,,,,,For Profit,http://www.prestiamoci.it,https://www.linkedin.com/company/prestiamoci,https://it-it.facebook.com/Prestiamoci,info@prestiamoci.it,3429992168,"Prestiamoci is the first community of loans between individuals born in Italy, allowing you to make profitable investment and to obtain loans with installments transparent. With Prestiamoci the providers invest and get Claimants, returning to its original role of the bank safe. Loans shall be paid by people to trustworthy people who want to achieve their life projects, grow their professional activity, better manage expenses and major purchases",,,,,,,,,,,,"Financial Services, Internet Services",,,11-50,6,,2021-06-01,2000000,EUR,2443500,Venture - Series Unknown,2000000,EUR,2443500,Venture - Series Unknown,9865016,USD,9865016,9865016,USD,9865016,"Innogest Capital, Club Italia Investimenti 2, Digital Magics, Banca Sella Holding, Pietro Boroli",1,14,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,0.2,,,,
RESET Tech,https://www.crunchbase.com/organization/k-l-wellness-technology,,"Artificial Intelligence (AI), Health Care, Personal Health, Wellness","Bandra, Maharashtra, India",RESET Tech is an AI-powered health tech startup that offers therapeutic health solutions for lifestyle diseases.,"94,058",Asia-Pacific (APAC),400050,$1M to $10M,Active,2021-01-01,year,,,,,For Profit,http://www.resettech.in/,https://www.linkedin.com/company/reset-tech/,https://www.facebook.com/Reset-Tech-107118695025780,contact@resettech.in,91 7045953248,"RESET Tech is an AI-driven health tech startup that uses natural, sustainable, and traditional methods of yoga and meditation to provide therapeutics-based health solutions to lifestyle diseases. They offer virtual streaming experience, data-driven recommendation, connecting healers with users, live posture correction, and emotion recognition services. RESET Tech's sustainable solutions and practices enable people to live the lifestyle they desire.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",2,"Karan Talreja, Vamsi Talasila",11-50,1,Seed,2021-11-17,300000000,INR,4039868,Seed,300000000,INR,4039868,Seed,300000000,INR,4039868,300000000,INR,4039868,"Narendra Firodia, Surendra Kedia, Vimal Kedia",3,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,12,-0.2,,,,
DeepWave,https://www.crunchbase.com/organization/deepwave,,"Artificial Intelligence (AI), Digital Entertainment, Digital Media, Information Technology, Music, Music Education, Software","Taipei, T'ai-pei, Taiwan","SaaS, Audio AI, Music, Voice","94,170",Asia-Pacific (APAC),106,,Active,2019-08-30,day,,,,,For Profit,https://dwave.cc/,https://www.linkedin.com/company/73044167/,https://www.facebook.com/DWaveTW,service@dwave.cc,886-2-2777-5550,"DeepWave, a spinoff from National Taiwan University, is at the forefront of Audio AI product development. Our dedicated team is committed to realizing the full potential of AI through our distinctive DeepWave signature AI Crafting SOP. Our mission is to facilitate the effective and rapid implementation of AI solutions. Presently, we proudly offer cutting-edge products such as ""Noise Eraser,"" an AI-powered audio denoising tool, ""Meeting Ink,"" an AI-powered meeting note management system, and ""SOVIA,"" an AI-powered voice conversion technology. At DeepWave, we are pioneering the future of AI applications with innovative solutions that redefine audio experiences.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Media and Entertainment, Music and Audio, Science and Engineering, Software",3,"Chih-yuan Lin, Jyh Shing Roger Jang, Ken Yeh",11-50,2,Seed,2021-03-01,14000000,TWD,503217,Angel,14000000,TWD,503217,Angel,15005800,TWD,535322,15005800,TWD,535322,"National Development Fund Angel Program, CMedia, JUNG-TSUNG CHIEN",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,13,0,,,,
GoVolt,https://www.crunchbase.com/organization/govolt,,"Delivery, Electric Vehicle, Fleet Management, Last Mile Transportation, Logistics","Milan, Lombardia, Italy",B2B last mile green logistics provider,"95,123","European Union (EU), Europe, Middle East, and Africa (EMEA)",20129,$1M to $10M,Active,2017-12-14,day,,,,,For Profit,https://govolt.it/,https://www.linkedin.com/company/govoltmobility/,https://www.facebook.com/GoVoltMobility/,info@govoltmobility.com,,"GoVolt is an innovative startup providing sustainable last mile logistics solutions. The company was born to address the challenge of mobility in modern urban centres and aims to differentiate its service offering within the market while solving a crucial issue for today’s and future generations. The company operates four separate business units: custom B2B delivery services, coroporate dedicated vehicle fleet rentals, third party micro-mobility fleet logistical management and specialized mechatronic maintenance.",,,,,,,,,,,,"Administrative Services, Transportation",2,"Giuliano Blei, Istvan Szentkereszty",11-50,5,Seed,2022-04-19,522500,EUR,564002,Seed,522500,EUR,564002,Seed,2504500,EUR,2913528,2504500,EUR,2913528,Growth Engine,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7,0.5,0,,3,"Transport, packaging and storing"
Ecosteer,https://www.crunchbase.com/organization/ecosteer,,"Data Governance, Internet of Things, Privacy, Software","Bozen, Trentino-Alto Adige, Italy","Decentralizing Data Control for a Smarter, Safer future","96,075","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2017-04-01,month,,,,,For Profit,https://www.ecosteer.com,,,info@ecosteer.com,,"Secure and controlled access to quality data is crucial for the growth of the digital economy. Current solutions often focus on bypassing the need for data owners' consent in data processing. Ecosteer transforms consent management from a barrier to data sharing into an opportunity for growth. Our technology empowers data owners with full control over data visibility, decentralizing consent management while reducing the costs and legal risks associated with centralized systems, ensuring maximum scalability. ------------------------------------------------ ------------------------------------------------ Benefits for Data Intermediaries Ecosteer eliminates the costly and risky burden of managing consent by decentralizing control over data visibility. Data owners directly control who can access their information, reducing the need for complex and expensive consent processes for data intermediaries.  Benefits for Businesses Our technologies enable decentralized data visibility management, allowing businesses to securely share data across systems and stakeholders without the complexities of traditional centralized frameworks. The result is a more efficient, scalable, and compliant data-sharing solution adaptable to any industry Benefits for Individuals Ecosteer empowers individuals to regain control over their personal data. Our solutions enable users to manage who can access their information, ensuring full transparency, privacy, and security—without compromising usability or trust. ------------------------------------------------ ------------------------------------------------ DVCO is a patented multicast encryption scheme that allows data owners to control third-party visibility over data streams generated by connected devices, such as energy meters, telematics, wearables, apps, and more.  DVCO empowers data owners with direct control over who can use their data, eliminating the need for intermediaries to handle complex consent processes. Leveraging a multicast architecture, DVCO enables secure and direct data sharing between owners and authorized recipients, significantly lowering costs and reducing legal liabilities for intermediaries. ------------------------------------------------ ------------------------------------------------ RELE is an innovative encryption scheme for data records that allows data owners to control third-party visibility over data sets stored in centralized repositories, such as EHR or CRM systems. With RELE, data is encrypted at the record level, enabling data owners to decide who can access specific information, such as health records. This not only ensures the highest level of data privacy but also removes the need for intermediaries to manage granular consent permissions. ------------------------------------------------ ------------------------------------------------ DOP is a standardized framework for integrating privacy-enhancing technologies into existing IT architectures, enabling user-centric, privacy-compliant data exchanges. Ecosteer's Data Ownership Platform (DOP) integrates Privacy Enhancing Technology (PET) into your infrastructure. It efficiently supports DVCO, RELE, and other PET solutions, offering a scalable architecture and APIs to streamline data control.",,,,,,,,,,,,"Data and Analytics, Internet Services, Privacy and Security, Software",2,"Daniel Grazioli, Elena Pasquali",1-10,8,Seed,2023-02-01,500000,EUR,550638,Seed,500000,EUR,550638,Seed,935000,EUR,1044364,1595000,EUR,1773781,H-FARM,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,6,0,6,Electric Communication Technique,0,
ProDay,https://www.crunchbase.com/organization/proday,,"Apps, Internet, Mobile","San Francisco, California, United States",Mobile app that lets anyone work out with professional athletes. Anytime. Anywhere.,"97,659","San Francisco Bay Area, West Coast, Western US",,$1M to $10M,Active,2015-08-01,month,,,,,For Profit,http://proday.co/,https://www.linkedin.com/company/proday,https://www.facebook.com/proday-1161038477258395,press@proday.co,,"Proday is a subscription personal training fitness app that allows you to workout alongside professional athletes any time, any where. We use world class fitness tracking and training methods and our famous athletes keep subscribers entertained and motivated. We combine strength, cardio and flexibility workouts from a diverse group of athletes.",,,,,,,,,,,,"Apps, Internet Services, Mobile, Software",1,Sarah Kunst,1-10,2,Seed,2017-08-01,100000,USD,100000,Seed,100000,USD,100000,Seed,120000,USD,120000,120000,USD,120000,"DCVC, Backstage Capital, R/GA Ventures, Global Sports Venture Studio",,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,11,0.4,0,,1,Scientific and electric apparatus and instruments
Axieme,https://www.crunchbase.com/organization/axieme,,"Insurance, InsurTech, Service Industry","Cagliari, Sardegna, Italy","Axieme is the Social Insurance insurtech, we reward policyholders with a Giveback to acknowledge their good behavior.","98,927","European Union (EU), Europe, Middle East, and Africa (EMEA)",09123,$1M to $10M,Active,2016-12-01,month,,,,,For Profit,https://www.axieme.com/,https://www.linkedin.com/company/10784406/,https://www.facebook.com/Axieme/,clienti@axieme.com,,"Axieme is an insurtech company based in Italy with a European vocation. Our Social Insurance model rewards policyholders with a giveback to acknowledge their good behavior. Each policyholders is gathered into a group (called “circle"") with other policyholders who bought the same insurance product/coverage. Axieme’s algorithm calculates a giveback for each policyholder based on the number of claims filed by the circle members: few claims = high giveback. This improves transparency, awareness and equity while reducing frauds and moral hazards. Axieme is also an insurance platform, developed on API technology. We can deploy our plug-and-play platform in white label to empower partners (banks, carriers, retailers, associations etc.) to offer digital insurance solutions to their communities: customer-base or employees-base or suppliers-base. Partners can then offer welfare and insurance solutions to their communities seamlessly.",,,,,,,,,,,,"Financial Services, Other",3,"Edoardo Monaco, Marco Pollara, Matteo Gallo",11-50,6,Seed,2021-11-15,600000,EUR,682020,Seed,600000,EUR,682020,Seed,1741700,EUR,2000299,1741700,EUR,2000299,"Cassa Depositi e Prestiti, Digital Magics",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8,1,,,,
Userbot,https://www.crunchbase.com/organization/userbot,,"Analytics, Artificial Intelligence (AI), Customer Service, Human Computer Interaction, Information Technology, Machine Learning, Virtual Assistant","Milan, Lombardia, Italy",Userbot is an AI powered customer interaction platform,"101,210","European Union (EU), Europe, Middle East, and Africa (EMEA)",20145,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://userbot.ai/,https://www.linkedin.com/company/userbot/,https://www.facebook.com/userbotai/,ciao@userbot.ai,,"Userbot is not just a simple chatbot, it is the first real Artificial Intelligence that automates conversations between companies and people. Userbot helps you to reply to all messages quickly, easily and in a personalized manner.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Other, Professional Services, Science and Engineering, Software",4,"Antonio Giarrusso, Jacopo Paoletti, Marco Muracchioli, Ricardo Piana",11-50,7,Seed,2019-05-07,688000,EUR,769844,Seed,688000,EUR,769844,Seed,2378415,EUR,2761848,2449844,EUR,2843716,"EASME, Enrico Bruschini",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4,-0.8,1,,2,Scientific and electric apparatus and instruments
