Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Facebook,LinkedIn,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Lead Investments,Number of Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,Delisted Date,Delisted Date Precision,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Trend Score (90 Days),Similar Companies,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class
Tulips,https://www.crunchbase.com/organization/tulips-7651,,"Delivery, E-Commerce, Food and Beverage, Grocery","Cesena, Emilia-Romagna, Italy","Tulips is the First Online Supermarket Pure of Italy that offers the products of a traditional supermarket, including fresh and super fresh.","72,297","European Union (EU), Europe, Middle East, and Africa (EMEA)",47521,$1M to $10M,Active,2016-12-13,day,,,,,For Profit,https://www.tulipsmarket.com/,https://www.facebook.com/TulipsOnlineMarket ,https://www.linkedin.com/company/tulips-srl,tulips@tulipsmarket.com,+39 392 469 8110,"Tulips is the First Online Supermarket Pure of Italy that offers the products of a traditional supermarket, including fresh and super fresh. There is particular attention to local and quality food. Delivery takes place in just two - three hours from the order, to ensure the freshness of the products.  The company was founded in 2016 and is headquartered  in Cesena (Italy). The Dark Stores are in Cesena, Rimini, Bologna and Ravenna and also serve the provinces.",,,,,,,,,,,,"Administrative Services, Commerce and Shopping, Food and Beverage",2,"Enrico Martini, Mattia Mordenti",11-50,4,Early Stage Venture,2022-11-15,2000000,EUR,2071500,Series A,2000000,EUR,2071500,Series A,9300000,EUR,10428503,9300000,EUR,10428503,,,,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2.3,3,,,,
Coverzen,https://www.crunchbase.com/organization/coverzen,,"Archiving Service, InsurTech, Online Portals","Milan, Lombardia, Italy",The digital office of insurers,"72,407","European Union (EU), Europe, Middle East, and Africa (EMEA)",20124,,Active,2021-01-01,year,,,,,For Profit,https://www.coverzen.it,,https://www.linkedin.com/company/coverzen,,,,,,,,,,,,,,,"Administrative Services, Financial Services, Internet Services",2,"Alberto Mazzetti, Giuliano Messina",11-50,1,Seed,2023-07-20,3300000,EUR,3674428,Seed,3300000,EUR,3674428,Seed,3300000,EUR,3674428,3300000,EUR,3674428,Vertis,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.5,10,0,1,,Advertising; business
NEXTON,https://www.crunchbase.com/organization/nexton,,"Agriculture, Farming, Organic Food, Sales","Seoul, Seoul-t'ukpyolsi, South Korea",NEXTON specializes in agricultural product cultivation and created the world's largest commercial vertical farm.,"73,473",Asia-Pacific (APAC),,,Active,2017-01-06,day,,,,,For Profit,http://www.inexton.com,,,nexton@inexton.com,,"NEXTON specializes in agricultural product cultivation and food sales. It is an indoor vertical farm startup in Korea which naturally maintains temperatures of 10-20C throughout the year even without active heating or cooling solutions. The company is hydroponically growing leafy greens and others without pesticide or herbicide with nutrient water fully-recycled and disinfected chemical-free. Its products include leafy greens, Korean strawberries, pharmaceutical plants, and cosmetics.",,,,,,,,,,,,"Agriculture and Farming, Food and Beverage, Sales and Marketing",1,JB Choi,11-50,3,Early Stage Venture,2021-09-06,23500000000,KRW,20319244,Series B,23500000000,KRW,20319244,Series B,23500000000,KRW,20319244,23500000000,KRW,20319244,"Mint Venture Partners, Translink Investment",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.4,11,,,,
Citibeats,https://www.crunchbase.com/organization/citibeats,,"Analytics, Big Data, Data Mining, Data Visualization, GovTech, Machine Learning, Risk Management, SaaS, Software","Barcelona, Catalonia, Spain",AI-driven enterprise SaaS tech for policy making and market intelligence,"73,531","European Union (EU), Europe, Middle East, and Africa (EMEA)",08005,$1M to $10M,Active,2019-01-01,month,,,,,For Profit,https://citibeats.com/,,https://www.linkedin.com/company/citibeats/,go@citibeats.com,+34 937 825 152,"Citibeats is a social data analysis platform that helps decision-makers of organizations, governments, and private companies understand societal changes at scale, in real-time, guiding human-centered policy-making and investments. As an Artificial Intelligence platform with proprietary Natural Language Processing technology and Machine Learning algorithms, it unlocks the analysis of big data about human behavior and turns it into actionable insights - regardless of the language, data source, or structure of the text. This makes it possible to get accurate assessments in real-time of people's ideas, feelings, doubts, opinions and concerns. The results can be delivered up to 90 days earlier than traditional methods - like media, polls, or surveys - which help decision-makers detect emerging risks, societal trends, and market opportunities. The Sustainability and Social Risk Monitors launched in 2022 are the first tools to uncover trends from millions of voices in real time, enabling clients to detect and contextualize social changes. The new subscription-based model has been conceived to help organizations around the globe rapidly and easily understand citizens’ questions, needs, and concerns around topics like climate change, biodiversity, sustainable cities, migration, citizen security, employment and entrepreneurship, and more. The new Phoenix product, recently launched, offers our clients to seach for any topics they might need to know to help their company grow and scale within the ethical parameters of Citibeats' technology. Phoenix delivers extremely targeted, high-frequency surveys about any topic relevant to our clients. In only 4 years we have built and scaled proprietary technology based on NLP & ML algorithms that unlock the augmented analysis of unstructured data about human behavior. It’s through this technology that we deliver the best social data platform on the market in a massively scalable way.  Citibeats has been recognized internationally with prestigious awards such as: - The United Nations World Summit Awards; - The COGx for the best Artificial Intelligence for public services. - The NTT Open Innovation contest (that gave us the opportunity to work and develop a project with NTT Data)  - Top 100 AI IRCAI - World Economic Forum Technology Pioneer In 2021, Citibeats was one of the first four tech companies to have implemented the fAIr LAC self-assessment tool.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Government and Military, Information Technology, Professional Services, Software",1,Ivan Caballero García,101-250,3,Seed,2021-11-18,500000,EUR,568392,Seed,500000,EUR,568392,Seed,4000000,EUR,4593674,4000000,EUR,4593674,"Wayra, Bankinter, IDB Lab, Avançsa, CAF",3,11,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.6,11,0,3,,Advertising; business
Soundsafe Care,https://www.crunchbase.com/organization/soundsafe-care,,"Manufacturing, Medical, Medical Device","Pontedera, Toscana, Italy",Soundsafe Care is a medtech startup that uses ultrasound and robotics to disrupt traditional surgical methods,"75,166","European Union (EU), Europe, Middle East, and Africa (EMEA)",6025,$1M to $10M,Active,2023-01-01,year,,,,,For Profit,https://www.soundsafecare.com/,,https://www.linkedin.com/company/soundsafe-care,contactus@soundsafecare.com,,Soundsafe Care is a medtech startup that uses ultrasound and robotics to disrupt traditional surgical methods. This union results in a surgical therapy that is precise because of robotics and fully non-invasive because of focused ultrasound.,,,,,,,,,,,,"Health Care, Manufacturing",,,1-10,1,Seed,2023-11-08,1750000,EUR,1874487,Pre-Seed,1750000,EUR,1874487,Pre-Seed,1750000,EUR,1874487,1750000,EUR,1874487,"Toscana Next Fund, RoboIT",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,9,0,1,,Medical apparatus and instruments
Enzyre,https://www.crunchbase.com/organization/enzyre,,"Health Care, Medical Device","Nijmegen, Gelderland, The Netherlands",Enzyre is a developer of diagnostic technology.,"75,417","European Union (EU), Europe, Middle East, and Africa (EMEA)",6534,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://enzyre.com/,,https://www.linkedin.com/company/enzyre/,info@enzyre.com,31 0 24 6690036,Enzyre is a developer of diagnostic technology.,,,,,,,,,,,,Health Care,,,11-50,2,Early Stage Venture,2022-11-02,12000000,EUR,11776679,Series A,12000000,EUR,11776679,Series A,12000000,EUR,11776679,13400000,EUR,13424409,"Novalis Biotechnology Incubation, OostNL, Takeda Ventures, i&i Biotech Fund, Demcon",2,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.4,3,,,,
Grovy,https://www.crunchbase.com/organization/grovy,,"Delivery, Delivery Service, E-Commerce, Grocery, Same Day Delivery","Frankfurt, Hessen, Germany",Grovy is an e-commerce and grocery delivery startup.,"76,691","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2020-12-16,day,,,,,For Profit,https://www.grovy.store,https://www.facebook.com/grovyapp,https://www.linkedin.com/company/grovy,info@grovy.de,,"Grovy is a q-commerce & grocery delivery provider. Customer order via App or Web and get the order delivered within 10 minutes. The company was founded in Dec 2020 and headquartered in Frankfurt, Germany.",,,,,,,,,,,,"Administrative Services, Commerce and Shopping, Food and Beverage, Transportation",4,"Georgis Asmarome, Justin Patrick Adam, Thomas Asmarome, Thomas-Christian Adam",11-50,1,Seed,2021-11-01,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,3000000,USD,3000000,3000000,USD,3000000,"Lighthouse Ventures, Steffen Zoller, Marcus Borner, Finn Age Haensel, Ilavska Vuillermoz Capital",1,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.2,74,,,,
SardexPay,https://www.crunchbase.com/organization/sardex-net,,"Finance, Financial Services, FinTech, Lending, Payments","Serramanna, Sardegna, Italy",SardexPay provides a commercial credit system designed for professionals and companies.,"76,828","European Union (EU), Europe, Middle East, and Africa (EMEA)",09038,$1M to $10M,Active,2009-01-01,year,,,,,For Profit,https://www.sardexpay.net/,https://www.facebook.com/sardexpay.net,https://www.linkedin.com/company/sardexpay/,info@sardex.net,+39 070 332 7433,"SardexPay provides a commercial credit system designed for professionals and companies. It enables companies, freelancers, and associations to exchange goods and services on an online platform via a complementary currency.  The company was founded in 2009 and is headquartered in Serramanna, Sardinia.",,,,,,,,,,,,"Financial Services, Payments",3,"Carlo Mancosu, Franco Contu, Gabriele Littera",11-50,5,,2021-07-06,1275000,EUR,1507433,Equity Crowdfunding,1275000,EUR,1507433,Equity Crowdfunding,9375000,EUR,11110606,9375000,EUR,11110606,"Innogest Capital, Invitalia Ventures, CDP Equity, Banca Sella Holding, BacktoWork",1,8,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0,7,0,1,,Scientific and electric apparatus and instruments
SBP,https://www.crunchbase.com/organization/sbp-99b7,,"Charity, Non Profit, Social Impact","New Orleans, Louisiana, United States",SBP solves the challenges facing at-risk communities and scales impact with a proven model.,"77,517",Southern US,,,Active,2006-01-01,year,,,,,Non-profit,https://sbpusa.org/,https://www.facebook.com/SBPUSA,https://www.linkedin.com/company/sbpusa/,info@sbpusa.org,+1 504-281-4614,,,,,,,,,,,,,"Other, Social Impact",,,101-250,1,,2023-12-14,100000,USD,100000,Grant,,,,,,,,100000,USD,100000,CITGO Petroleum Corporation,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.4,27,,,,
FidoCommercialista,https://www.crunchbase.com/organization/fidocommercialista,,"Accounting, Advice, Financial Services","Perugia, Umbria, Italy","FidoCommercialista is an online tax service for freelancers, companies, and associations.","78,773","European Union (EU), Europe, Middle East, and Africa (EMEA)",06129,$1M to $10M,Active,2019-01-01,year,,,,,For Profit,https://fidocommercialista.it,https://www.facebook.com/FidoCommercialista/,https://www.linkedin.com/company/fidocommercialista/,scrivi@fidocommercialista.it,+39 0759003400,"FidoCommercialista is a team of accountants to offer tax support. They use digital technologies to save customers time and money. They provide tax advice for their clients. They respond to customer inquiries by phone, contact form, and email.",,,,,,,,,,,,"Financial Services, Media and Entertainment, Professional Services",1,Nicola Primieri,11-50,2,Seed,2024-04-08,1200000,EUR,1303458,Seed,1200000,EUR,1303458,Seed,1200000,EUR,1303458,1200000,EUR,1303458,"Alecla7, Vesper Holding, Fabio Nalucci, 40Jemz Ventures, X-Equity Venture Club",,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.2,9,,,,
Quickfisco,https://www.crunchbase.com/organization/quickfisco,,"Accounting, Customer Service, Technical Support","Milano, Lombardia, Italy",Quickfisco is an online accounting platform that provides value added tax calculation for their clients.,"79,133","European Union (EU), Europe, Middle East, and Africa (EMEA)",20139,,Active,2020-01-01,year,,,,,For Profit,https://quickfisco.it ,https://www.facebook.com/quickfisco,https://www.linkedin.com/company/quickfisco/ ,info@quickfisco.it,,"Quickfisco offers the management of the flat-rate vat number quickly and easily. They respect our time. They leave the bureaucratic and boring part to us, you take care of invoicing. If anyone wants to contact them please contact them via email.",,,,,,,,,,,,"Financial Services, Information Technology, Other, Professional Services",,,1-10,3,Seed,2025-03-14,1500000,EUR,1638359,Seed,1500000,EUR,1638359,Seed,1812455,EUR,1986208,2400000,EUR,2640308,Albemarle Asset Management,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.8,8,,,,
Paperbox Health,https://www.crunchbase.com/organization/paperbox-health,,"EdTech, Health Care","Turin, Piemonte, Italy",Paperbox Health is a healthtech company that leverages AI-powered gamification technique for learning disorders' early detection.,"79,411","European Union (EU), Europe, Middle East, and Africa (EMEA)",10122,,Active,2022-07-01,month,,,,,For Profit,https://paperbox.health,https://www.facebook.com/Paperbox.Health/,https://www.linkedin.com/company/paperboxhealth,info@paperbox.health,,"DINO: The Future of Early Learning Disorder Detection In today’s educational landscape, learning disorders often go undiagnosed until they become significant barriers to academic success. This late detection leads to higher intervention costs, greater emotional distress for children, and increased strain on teachers and families. DINO is revolutionizing the way we approach early learning disorder identification by leveraging AI, gamification, and data-driven insights to create a scalable, efficient, and engaging solution for schools. Our mission is simple: ensure that every child, regardless of background or geography, has access to early and accurate learning disorder detection. By intervening at the right time, we empower schools, educators, and families to provide the best possible support for students who need it most. A Disruptive Approach to Educational Assessment Traditional methods of identifying learning difficulties are often time-consuming, resource-intensive, and dependent on expert evaluations that may not be readily available. DINO changes this paradigm by offering: AI-powered early detection – Our intelligent algorithms analyze gameplay data to identify potential learning challenges in real time. Gamified assessment – Students engage in fun, interactive activities that collect meaningful cognitive and linguistic data without creating stress or pressure. Minimal teacher intervention – The tool is designed for independent use, allowing educators to focus on classroom instruction while gathering valuable insights. Scalability and cost-efficiency – Unlike traditional assessment methods, DINO can be deployed in multiple schools with minimal logistical constraints. Proven Business Model & Strong Market Validation DINO’s business model has been successfully implemented in Italy, demonstrating strong financial sustainability and market demand. Our approach is based on: A subscription-based pricing model: Schools pay a setup fee (€200 per institution) and an annual fee per student (€10 per child), ensuring affordability while maintaining profitability. High margins and low operational costs: Delivery costs are minimal (€1 per report, totaling €2 per child annually), allowing for flexible pricing adaptation, with an average deal size of €1,350 per school.",,,,,,,,,,,,"Education, Health Care, Software",3,"Francesco Garosci, Francesco Trovato, Giacomo Pratesi",1-10,3,Seed,2024-12-31,112500,EUR,116437,Grant,338000,EUR,349833,Seed,475000,EUR,485272,587500,EUR,601709,"PLAI Accelerator, Compagnia di San Paolo, European funds, VITA Accelerator, Regione Piemonte",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.1,8,,,,
Nervio,https://www.crunchbase.com/organization/nervio,,"Health Care, Health Diagnostics, Real Time","Misgav, HaZafon, Israel",Nervio created a disruptive SaaS product that increases surgery safety while allowing operational streamlining,"79,447","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",2018400,,Active,2020-01-01,month,,,,,For Profit,https://www.nervio.ai/,,https://www.linkedin.com/company/nervio-ai/,ariel@nervio.ai,+972-4-663-8883,"Nervio is a digital health company that developed a first in market neuromonitoring solution to prevent avoidable paralysis and severe neurologic complications during surgery. Its AI-powered solution alerts clinicians in real-time to any neurological complications in the operating room, reducing the risk of permanent nerve injuries and allowing greater operational flexibility in a field ripe for innovation.",,,,,,,,,,,,"Health Care, Other",,,11-50,2,Seed,2023-01-01,2500000,USD,2500000,Seed,2500000,USD,2500000,Seed,3500000,USD,3500000,3500000,USD,3500000,eHealth Ventures,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.2,10,,,,
MatiPay,https://www.crunchbase.com/organization/matipay,,"Electronics, FinTech, Information Technology, Internet of Things","Mola Di Bari, Puglia, Italy","MatiPay is the new IoT solution turning vending machines into smart objects, allowing user identification, analysis & engagement in one tap","80,734","European Union (EU), Europe, Middle East, and Africa (EMEA)",70042,Less than $1M,Active,2016-01-01,year,,,,,For Profit,https://www.matipay.com,,https://www.linkedin.com/company/matipay/,info@matipay.com,+39 080 5321796,"MatiPay is the innovative payment system that provides a frictionless and complete end-user experience combining the immediate connection between the vending machine and the smartphone app with a virtual wallet that can be topped-up via cash dispenser, Credit Card or PayPal.",,,,,,,,,,,,"Consumer Electronics, Financial Services, Hardware, Information Technology, Internet Services",1,Matteo Pertosa,1001-5000,1,Early Stage Venture,2019-10-09,7000000,EUR,7689072,Series A,7000000,EUR,7689072,Series A,7000000,EUR,7689072,7000000,EUR,7689072,Neva SGR,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.4,3,,,,
La Passione,https://www.crunchbase.com/organization/la-passione-5e21,,"Fashion, Manufacturing, Shopping, Women's","Desenzano Del Garda, Lombardia, Italy",La Passione is a cycling clothing manufacturer with the greatest level of skill.,"81,138","European Union (EU), Europe, Middle East, and Africa (EMEA)",25080,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://www.lapassione.cc/,https://www.facebook.com/lapassionecc/,https://www.linkedin.com/company/lapassionecc/,support@lapassione.cc,+39 0365 198 6922,"La Passione designs and manufactures cycling clothing designed for every use in rides. La Passione is committed to closely monitoring providers, laundries, and factories to ensure that their products are made with appropriate processes and materials that respect nature and living beings. La Passione's collection undergoes extensive research and development in order for customers to feel at ease when using the products.",,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design, Manufacturing",,,11-50,1,,2021-07-13,7000000,EUR,8242645,Venture - Series Unknown,7000000,EUR,8242645,Venture - Series Unknown,7000000,EUR,8242645,7000000,EUR,8242645,"Milano Investment Partners SGR, Club Italia Investimenti 2, Club Digitale, Alberto Grignolo, Andrea Tonti",,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.3,5,0,5,,Clothing; footwear; headgear
Sophia,https://www.crunchbase.com/organization/sophia-335f,,"Consulting, Health Care, Human Resources, Medical, Mental Health, Psychology","Boston, Massachusetts, United States",Sophia is an online platform that matches people with licensed mental health therapists.,"81,387","Greater Boston Area, East Coast, New England",,,Closed,2017-01-01,year,,,2018-01-01,year,For Profit,https://www.trysophia.com/,https://business.facebook.com/trysophia,https://www.linkedin.com/company/trysophia/,founders@trysophia.com,,"Sophia is an online platform that matches people with licensed mental health therapists. Founded in 2017, the company is backed by Techstars and MIT delta v.",,,,,,,,,,,,"Administrative Services, Health Care, Professional Services",3,"Bowen Lu, Chetan Jhaveri, Eva Breitenbach",1-10,3,Seed,2018-01-22,,,,Convertible Note,120000,USD,120000,Pre-Seed,120000,USD,120000,120000,USD,120000,"Techstars, MIT delta v",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,5.1,,,,,
VoiceMe,https://www.crunchbase.com/organization/voiceme,,"Biometrics, Blockchain, Fraud Detection, Identity Management, Information Technology, SaaS, Software","Milan, Lombardia, Italy","SaaS solution of Voice Customer Authentication - a platform allowing electronic payments, single-sign-on and secured digital signing.","81,907","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2021-07-12,day,,,,,For Profit,https://voiceme.id/,,https://www.linkedin.com/company/voiceme/,info@voiceme.id,,"Voiceme is a patented Platform of Secure Customer Authentication based on Voice Recognition, and 5 other Authentication Factors, which allows you to log into digital properties, pay and transfer money also peer-2-peer, sign documents, access physical restricted areas and confirm actions and identity thanks to voice OTP",,,,,,,,,,,,"Biotechnology, Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Information Technology, Other, Payments, Privacy and Security, Science and Engineering, Software",2,"Mauro Ferri, Nicolas Musikas",1-10,3,Seed,2023-11-24,,,,Non-equity Assistance,,,,Seed,560000,EUR,664364,560000,EUR,664364,Hackquarters,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.1,10,,,,
Invrsion,https://www.crunchbase.com/organization/invrsion,,"3D Technology, B2B, E-Commerce, E-Commerce Platforms, Real Time, Retail, Retail Technology, SaaS, Software, Virtual Reality","Milano, Lombardia, Italy",inVRsion develops ultra-realistic 6DOF VR simulation with focus on retail and 3D product digitization.,"82,361","European Union (EU), Europe, Middle East, and Africa (EMEA)",20123,$1M to $10M,Active,2015-01-01,year,2023-06-07,day,,,For Profit,https://invrsion.com/,https://www.facebook.com/invrsion/,https://www.linkedin.com/company/invrsion,invrsion@invrsion.com,,"inVRsion is a disruptive digital enabler who allows retailers and brands to improve sales effectiveness saving time and costs. Its solution, ShelfZone, is a cloud-based SaaS application which simulates stores, products and shopping experiences in virtual reality with the highest level of realism on the market enabling customers to hugely increase their products value perception. ShelfZone serves many use cases: trade marketing presentation, training, consumer research and virtual-commerce. inVRsion works also in 3D product digitalization field, with a strong pipeline in FMG 3D digital twin production.",,,,,,,,,,,,"Commerce and Shopping, Hardware, Internet Services, Other, Software",2,"Matteo Esposito, Paolo Pascolo",11-50,6,M&A,2021-10-13,2000000,EUR,2319360,Seed,2000000,EUR,2319360,Seed,6975000,EUR,8055220,6975000,EUR,8055220,"Italian Angels for Growth, LIFTT, iStarter",,3,,Was Acquired,Invrsion acquired by Vection Technologies,https://www.crunchbase.com/acquisition/servtech-global-acquires-invrsion--8d4710c9,Vection Technologies,https://www.crunchbase.com/organization/servtech-global,2023-06-07,day,,,,Acquisition,,Private,,,,,,,,,,,,,0.8,8,2,6,Computing; Calculating,Scientific and electric apparatus and instruments
Vita Meals,https://www.crunchbase.com/organization/feat-food,,"Food Delivery, Food Processing","Milan, Lombardia, Italy","Each person is unique, as unique is their nutritional need. We provide everyone with 100% tailored meal plans.","82,587","European Union (EU), Europe, Middle East, and Africa (EMEA)",20143,Less than $1M,Active,2015-02-01,month,,,,,For Profit,https://www.vitameals.com,https://www.facebook.com/vitamealsitaly,https://www.linkedin.com/vitameals,info@vitameals.com,,"Each person is unique, as unique is their nutritional need. We provide everyone with 100% tailored meal plans.",,,,,,,,,,,,"Food and Beverage, Transportation",2,"Andrea Lippolis, Lorenzo Danese",11-50,5,Seed,2021-12-15,1500000,EUR,1693524,Seed,1500000,EUR,1693524,Seed,4300000,EUR,4968514,4300000,EUR,4968514,"CDP Venture Capital, Moffu Labs",,2,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,0.3,8,0,2,,Services for providing food and drink; temporary accommodations
Dendron,https://www.crunchbase.com/organization/dendron,,"Information Services, Information Technology","Seattle, Washington, United States",Dendron helps you find relationships between your notes and provides enough structure.,"82,896","Greater Seattle Area, West Coast, Western US",98109,$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://www.dendron.so/,,https://www.linkedin.com/company/dendron-so/about/,,,Dendron helps you find relationships between your notes and provides enough structure so you’re never lost.,,,,,,,,,,,,Information Technology,1,Kevin S Lin,1-10,2,Seed,2021-04-09,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,2000000,USD,2000000,2000000,USD,2000000,"Y Combinator, Founders' Co-op, FUSE, Altair Capital Advisors, First Rays Venture Partners",,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.3,5,0,2,,Scientific and electric apparatus and instruments
Abiby,https://www.crunchbase.com/organization/abiby,,"Cosmetics, E-Commerce, Internet, Retail","Milano, Lombardia, Italy",Abiby is a platform that offers subscription services to discover and try new beauty products.,"83,156","European Union (EU), Europe, Middle East, and Africa (EMEA)",20123,$1M to $10M,Active,2018-01-01,month,,,,,For Profit,https://www.abiby.it/,https://it-it.facebook.com/abibyitalia/,https://www.linkedin.com/company/abiby/,mario@abiby.it,,"Abiby is a supplier of cosmetic products. The company offers services include perfumes, beauty boxes, beauty trends, startups, online beauty, beauty partnerships, beauty retail, and retail.",,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Internet Services",2,"Luca Della Croce di Dojola, Mario Parteli",1-10,2,Seed,2021-06-30,2000000,EUR,2371700,Seed,2000000,EUR,2371700,Seed,3500000,EUR,4050138,3500000,EUR,4050138,"ICLUB VC, TA Ventures, B Holding",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0,8,0,3,,"Pharmaceutical, veterinary and sanitary products"
CyLock,https://www.crunchbase.com/organization/cylock,,"Cyber Security, Information Technology, Security, Small and Medium Businesses, Software","Rome, Lazio, Italy","CyLock is a cybersecurity platform that provides AI-powered penetration testing, threat intelligence and other security services.","83,366","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2022-04-12,day,,,,,For Profit,https://www.cylock.tech,https://www.facebook.com/people/CyLock/100077297528389,https://www.linkedin.com/company/cylock,info@cylock.tech,,"CyLock anti-hacker is a software designed to defend systems from hacker attacks, identifying weaknesses in their systems and websites, and providing information to address vulnerabilities used by the cybercriminal to access their computers. Through CyLock's Anti-Hacker system, small and medium-sized businesses will be able to test their digital defences to identify and eliminate vulnerabilities in websites, e-commerce sites, apps, e-mails, information systems, corporate networks, servers, and IoT. Companies that do not periodically test their digital tools and their staff skills are more exposed to cyber attacks, which turn into business interruptions, document loss, e-commerce, and online payments breakdown.",,,,,,,,,,,,"Information Technology, Other, Privacy and Security, Software",4,"Alessio Salzano, Diego Padovan, Gian Paolo Antoniani, Verando Zappi",11-50,2,Seed,2024-07-25,500000,EUR,542568,Seed,500000,EUR,542568,Seed,818000,EUR,878482,818000,EUR,878482,"CDP Venture Capital, Startup Wise Guys, Scientifica Venture Capital, Exor Ventures, Lazio Innova",1,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1,11,,,,
Kinsect,https://www.crunchbase.com/organization/kinsect,,"Industrial, Marketing, Organic","Reggio Nell Emilia, Emilia-Romagna, Italy",Kinsect is the development of technologies for industrial insect breeding with tailored services.,"84,999","European Union (EU), Europe, Middle East, and Africa (EMEA)",42122,,Active,2022-01-01,year,,,,,For Profit,https://kinsect.eu,,,kinsect@pec.it,,"Kinsect provides development, production, and marketing of products. They use transformation and bioconversion of waste and organic by-products into proteins, fats, and fertilisers of various species.",,,,,,,,,,,,"Manufacturing, Sales and Marketing, Sustainability",1,Giacomo Benassi,1-10,1,Seed,2024-12-06,1000000,EUR,1057562,Seed,1000000,EUR,1057562,Seed,1000000,EUR,1057562,1000000,EUR,1057562,"Forest Valley Institute, Terra Next, Farming Future",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0,4,,,,
