Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Facebook,LinkedIn,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Diversity Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Trend Score (90 Days),Similar Companies,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class
iCare Group,https://www.crunchbase.com/organization/icare-benefits,,"E-Commerce, FinTech, Leasing, Retail, Retail Technology","Singapore, Central Region, Singapore",iCare Benefits empowers low income employees to increase their purchasing power with access to interest-free monthly instalments.,"50,752","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",189677,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,http://icarebenefits.asia,https://www.facebook.com/icarebenefitsgroup,https://www.linkedin.com/company/icarebenefitssea/,info@icarebenefits.asia,+65 831 772 11,"iCare Group is a Singapore-based employee benefits platform for low-income women factory workers in Cambodia and Laos. iCare offers its customers a multi-channel service of retail, buy-now-pay-later and financial leases that enhances customers’ lives and that of their families. iCare's customers can access all kinds of typical household products and choose whatever repayment option fits them the most through flexible, interest-free repayments.",,,,,,,,,,,,"Commerce and Shopping, Financial Services, Hardware, Software",4,"Chantha Lim, Molika Meas, Pablo F. Alonso Caprile, Trung Dung",51-100,5,Private Equity,2022-06-15,15000000,USD,15000000,Debt Financing,1500000,USD,1500000,Private Equity,5279342,USD,5279342,20279342,USD,20279342,"Helicap, Patamar Capital, Emerging Markets Investments",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.2,8,,,,
RedDress,https://www.crunchbase.com/organization/reddress,,"Biotechnology, Health Care, Medical Device","Tel Aviv, Tel Aviv, Israel",RedDress is a medical device company that developed a wound care product that helps the human body on the wound healing process.,"52,790","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",,$1M to $10M,Active,2010-01-01,day,,,,,For Profit,https://www.reddressmedical.com,https://www.facebook.com/RedDressLtd1,https://www.linkedin.com/company/reddress/,info@reddressmedical.com,+1 800-674-9614,"RedDress is a medical device company that developed a wound care product that helps the human body on the wound healing process. It specializes in wound care, wound healing, tissue repair, regenerative medicine, chronic ulcers, diabetic and foot ulcers. The company was founded in 2009 and headquartered in Tel Aviv, Israel.",,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",1,Igal Kushnir,11-50,2,Late Stage Venture,2023-05-24,26000000,USD,26000000,Series D,26000000,USD,26000000,Series D,26000000,USD,26000000,26000000,USD,26000000,"Athos Therapeutics, HCS Capital, Boston Harbor Angels, Ragnar",,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.3,4,19,6,Medical Or Veterinary Science; Hygiene,"Pharmaceutical, veterinary and sanitary products"
Restworld,https://www.crunchbase.com/organization/restworld,,"Human Resources, Restaurants, Software","Turin, Piemonte, Italy",Restworld is a digital staffing agency that offers human resources and hiring services for restaurants and hotels.,"54,746","European Union (EU), Europe, Middle East, and Africa (EMEA)",10129,$1M to $10M,Active,2020-02-01,month,,,,,For Profit,https://restworld.it/,https://www.facebook.com/Restworld.it/,https://www.linkedin.com/company/restworld/,info@restworld.it,,"RestWorld is a digital staffing agency that helps find staff for restaurants, cafes, and hotels. It allows owners to save time in recruiting processes. The key factor of the company is its action-research approach, which is completely based on a data-driven culture. Restworld applies digital methods to social science in an uncommon way.",,,,,,,,,,,,"Administrative Services, Food and Beverage, Software",4,"Davide Lombardi, Edoardo Conte, Lorenzo D'Angelo, Luca Lotterio",11-50,4,Seed,2024-12-02,650000,EUR,682567,Seed,650000,EUR,682567,Seed,1304000,EUR,1417726,1654000,EUR,1785262,"Startup Wise Guys, Moffu Labs, Mival Capital, Cavallo Consulting, Day Ristoservice",1,12,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.3,9,0,1,,Scientific and electric apparatus and instruments
Café,https://www.crunchbase.com/organization/cafe-7cf2,,"Enterprise Software, Human Resources, Mobile Apps, Social Network","New York, New York, United States","Café develops an app that helps teams to coordinate effectively, both in and out of the office.","54,797","Greater New York Area, East Coast, Northeastern US",10016,,Active,2020-01-01,year,,,,,For Profit,https://at.cafe,,https://www.linkedin.com/company/get-cafe,contact@at.cafe,,Café is a mobile and web app that empowers employees to make decisions of where to work from & empowers organizations to enable teams to collaborate effectively in a hybrid world.,,,,,,,,,,,,"Administrative Services, Apps, Internet Services, Mobile, Software",2,"Arthur Lorotte de Banes, Tom Nguyen",11-50,2,Seed,2021-08-31,125000,USD,125000,Pre-Seed,125000,USD,125000,Pre-Seed,1525000,USD,1525000,1525000,USD,1525000,"Y Combinator, Script Capital, Kima Ventures",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.2,8,,,,
Approxima,https://www.crunchbase.com/organization/approxima-40d3,,Medical Device,"Milan, Lombardia, Italy",Approxima is an early-stage MedTech startup that is creating a percutaneous tricuspid valve replacement method.,"54,936","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2020-05-28,day,,,,,For Profit,https://www.approximamedical.com/,,https://www.linkedin.com/company/approxima-s-r-l,info@approximamedical.com,,"Approxima is an early-stage MedTech startup that is creating a percutaneous tricuspid valve replacement method. The company is demonstrating in vivo safety, efficacy, and feasibility through preclinical feasibility phase trials.",,,,,,,,,,,,Health Care,,,1-10,2,Early Stage Venture,2025-02-20,7300000,EUR,7615264,Series A,7300000,EUR,7615264,Series A,8900000,EUR,9331914,8900000,EUR,9331914,"Panakes Partners, ENEA Tech e Biomedical, Club degli Investitori",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-2.5,10,4,0,Medical Or Veterinary Science; Hygiene,
Rocky,https://www.crunchbase.com/organization/rocky-robots-inc,,"E-Learning, Personal Development, Personalization, Training","Preston, Lancashire, United Kingdom","Rocky is a personalized self-improvement app that uses interactive, intelligent, and guided journaling.","55,202","Europe, Middle East, and Africa (EMEA)",PR2 2DX,Less than $1M,Active,2019-01-16,day,,,,,For Profit,https://www.rocky.ai,https://www.facebook.com/rocky.ai.coach,https://www.linkedin.com/company/rocky-robots,hello@rocky.ai,4915164464813,"Rocky provides affordable coaching to young leaders through daily guided-coaching conversations, sharpening their soft skills.  In 2020 Rocky.ai was selected as TC Topic in the category Education / Social Impact for Techcrunch Disrupt San Francisco 2020. Start your personal growth journey and download Rocky.ai at your Google and Apple app stores.  Contact us if you are a coach or self-improvement book author and are looking for a partnership.",,,,,,,,,,,,"Commerce and Shopping, Education, Software",1,Harry Novic,1-10,2,Seed,2022-02-08,300000,GBP,406410,Pre-Seed,300000,GBP,406410,Pre-Seed,776410,USD,776410,776410,USD,776410,"Techstars, Jenson Funding Partners, Lazio Innova, Digital Magics, Bootstrapped Debt Financing",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.7,6,0,1,,Scientific and electric apparatus and instruments
Deliveristo,https://www.crunchbase.com/organization/deliveristo,,"Food and Beverage, Marketplace","Milano, Lombardia, Italy",B2B Foodtech marketplace that connects Ho.Re.Ca. (Hôtellerie - Restaurant - Cafè) with Suppliers,"57,857","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2017-07-01,month,,,,,For Profit,https://www.deliveristo.com/,https://www.facebook.com/deliveristo/,https://www.linkedin.com/company/deliveristo/,info@deliveristo.com,+39 3923338481,B2B Foodtech marketplace and delivery platform which allows chefs and restaurant owners to digitally organize their orders directly from farmers and distributors,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage",3,"Gabriele Angeleri, Ivan Aimo, Luca Calia",11-50,4,,2022-07-28,7000000,EUR,7134478,Venture - Series Unknown,7000000,EUR,7134478,Venture - Series Unknown,12600000,EUR,13870300,12600000,EUR,13870300,"United Ventures, Vertis, Azimut Libera Impresa, Italian Angels for Growth, GELLIFY",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0,4,0,1,,Scientific and electric apparatus and instruments
Phononic Vibes,https://www.crunchbase.com/organization/phononic-vibes,,Renewable Energy,"Milano, Lombardia, Italy","Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.","58,821","European Union (EU), Europe, Middle East, and Africa (EMEA)",20158,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,http://phononicvibes.com/,https://www.facebook.com/PhononicVibes/,https://www.linkedin.com/company/phononicvibes/,luca.dalessandro@phononicvibes.com,+39 338 319 6959,"Phononic Vibes introduces a new patented technology with unprecedented performances in the vibration and noise control and isolation, with a circular economy approach. It originates from the research activity at Politecnico di Milano and Massachusetts Institute of Technology of its founders in the field of meta-materials, to achieve and engineer novel and unmatched properties, focusing on materials with periodic architected topology. Phononic Vibes guarantees, with competitive prices, greater performances with respect to products already on the market, in various sectors of application such as industrial, construction and infrastructures.",,,,,,,,,,,,"Energy, Sustainability",5,"Andrea Boeri, Braghin Francesco, Giovanni Capellari, Luca D'Alessandro, Stefano Caverni",11-50,4,,2022-07-05,6000000,EUR,6154061,Venture - Series Unknown,6000000,EUR,6154061,Venture - Series Unknown,8800000,EUR,9433490,8800000,EUR,9433490,"CDP Venture Capital, 360 Capital, SkyDeck Berkeley, EUREKA! Venture SGR",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.5,6,13,1,Musical Instruments; Acoustics,Machines and machine tools
Skinlabo,https://www.crunchbase.com/organization/skinlabo,,"Beauty, Consumer Goods, E-Commerce, Health Care, Retail Technology","Torino, Piemonte, Italy","SkinLabo is the fastest growing Beauty Industry Disruptor in Europe and US. Fully DTC, we make high-quality cosmetics accessible to everyone","58,941","European Union (EU), Europe, Middle East, and Africa (EMEA)",10153,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://skinlabo.com/,https://www.facebook.com/skinlabobeauty,https://www.linkedin.com/company/skinlabo/,info@skinlabo.com,,"SkinLabo is the fastest growing Beauty Industry Disruptor in Europe and US. Our business model is direct to consumer (DTC) and fully digital, leveraging customer acquisition and retention rates well above market benchmarks. Our mission is to make high-quality cosmetics accessible to everyone. For us, high-quality products go hand in hand with high-quality service, which we deliver in 16 languages thanks to our team of currently 30 beauty consultants.",,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Hardware, Health Care, Software",1,Angelo Muratore,51-100,9,Early Stage Venture,2022-01-10,6000000,EUR,6798181,Series B,6000000,EUR,6798181,Series B,23099500,EUR,26667581,23099500,EUR,26667581,"Vertis, Club degli Investitori, Immobiliare.it, 8a+ Investments SGR, Angelo Moratti",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.3,7,,,,
Hemera,https://www.crunchbase.com/organization/w3w-ai,,"Analytics, Database, Information Technology, Marketing, Software, Web3","Mountain View, California, United States",Hemera Protocol is a decentralized account-centric programmable indexing network.,"59,103","San Francisco Bay Area, Silicon Valley, West Coast",94043,,Active,2020-01-01,year,,,,,For Profit,https://thehemera.com/main/home,,https://www.linkedin.com/company/thehemera/,business@w3w.ai,,Hemera Protocol is a decentralized account-centric programmable indexing network.,,,,,,,,,,,,"Blockchain and Cryptocurrency, Data and Analytics, Information Technology, Internet Services, Sales and Marketing, Software",2,"Alex Niu, Arthur Meng",11-50,1,Seed,2024-05-07,2600000,USD,2600000,Seed,2600000,USD,2600000,Seed,2600000,USD,2600000,2600000,USD,2600000,"Chainlink, SNZ Holding, Nomad Capital, LIF, Danny Zhang",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.3,7,,,,
Cynomys,https://www.crunchbase.com/organization/cynomys-s-r-l,,"Agriculture, AgTech, Hardware, Internet of Things, Livestock","Ronco Scrivia, Liguria, Italy","Provide innovative win-win solutions beneficial to farmers, animals and the environment on a larger scale.","59,289","European Union (EU), Europe, Middle East, and Africa (EMEA)",16019,Less than $1M,Active,2017-04-28,day,,,,,For Profit,http://www.cynomys.it,,https://www.linkedin.com/company/cynomys,milani@cynomys.it,0033768560138,"Cynomys is the first company to have patented an IoT solution for monitoring environmental parameters and consumption rates in animal farms.  We developed a self-contained device that allows to control over 30 parameters that affect animal welfare, environmental impact, farm consumptions and hence the overall productivity of the farm, all from our secure cloud platform.  We deliver our solutions to any kind of livestock farm. We have been on the market since 2018 and as per September 2020 we have customers in Italy, Spain, France, The Netherlands and Mexico. Our main customers are animal feed producers and distributors, as well as medium and large livestock companies.  Our management team is composed of three highly qualified people with experience in technology building, software and hardware development and testing and communication. They are fully committed to help the livestock sector become more conscious and sustainable.",,,,,,,,,,,,"Agriculture and Farming, Hardware, Internet Services",,,1-10,5,Seed,2024-03-13,2100000,EUR,2300102,Seed,2100000,EUR,2300102,Seed,2514030,EUR,2761490,2514030,EUR,2761490,"SVG Ventures, dsm-firmenich, Levante Capital, RootCamp, Farming Future",2,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.2,1,2,0,Electric Communication Technique,
inMotive,https://www.crunchbase.com/organization/inmotive,,"Automotive, Electric Vehicle, Mechanical Engineering","Toronto, Ontario, Canada","inMotive  is a inventor company of the Ingear, an ultra-efficient multi-speed powertrain technology for a wide range of applications.","60,142",Great Lakes,M3B 2R2,$1M to $10M,Active,2010-01-01,year,,,,,For Profit,https://www.inmotive.com/,,https://www.linkedin.com/company/inmotive,info@inmotive.com,,"inMotive is the world’s most efficient and least expensive automatic transmission. Ingear transmission makes for lighter, less expensive and better performing plug-in vehicles.",,,,,,,,,,,,"Science and Engineering, Transportation",1,Paul Bottero,11-50,3,,2023-10-20,,,,Venture - Series Unknown,,,,Venture - Series Unknown,7500000,USD,7500000,7500000,USD,7500000,"Suzuki Global Ventures, Ontario Centres of Excellence, Up Capital",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.3,6,7,0,Engineering Elements And Units; General Measures For Producing And Maintaining Effective Functioning Of Machines Or Installations,
EEVE,https://www.crunchbase.com/organization/eeve-d9af,,"Artificial Intelligence (AI), Machine Learning, Made to Order, Manufacturing, Robotics","Waregem, West-Vlaanderen, Belgium",Personal Robots,"60,845","European Union (EU), Europe, Middle East, and Africa (EMEA)",8790,$1M to $10M,Active,2017-04-01,day,,,,,For Profit,https://eeve.com,https://www.facebook.com/eeverobots,https://www.linkedin.com/company/eeve-com,info@eeve.com,+32 56196611,"EEVE is a tech startup that creates personal robots that are intelligent and autonomous. They enable outside developers and partners to add hardware equipment and software programs to their platform. Their robots offer various services, such as maintaining the garden, guarding the property, sweeping the patio, transporting goods, playing games or taking beautiful pictures at parties. Their robots are created using artificial intelligence and computer vision, and they keep them economical and environmentally friendly.",,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",2,"-- ->, Wesley Lorrez",11-50,10,Seed,2022-10-30,275000,EUR,273753,Seed,275000,EUR,273753,Seed,7292129,EUR,8094979,7292129,EUR,8094979,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.4,8,3,2,Controlling,Machines and machine tools
BABB,https://www.crunchbase.com/organization/babb,,"Banking, Blockchain, Finance, Financial Services, FinTech, Marketplace","London, England, United Kingdom","BABB is a world bank for the micro-economy: a global marketplace for human innovation, financial autonomy and wealth creation.","64,472","Europe, Middle East, and Africa (EMEA)",E14 5AB,$10M to $50M,Active,2017-11-02,day,,,,,For Profit,https://getbabb.com/,https://www.facebook.com/getbabb/,https://www.linkedin.com/company/babb/,contact@getbabb.com,,"The first world bank for the micro-economy: a global marketplace for human innovation, financial autonomy and wealth creation. BABB is the trading name of BABB App Ltd, A UK registered Company.  BABB App Ltd is an authorised payment institution by the Financial Conduct Authority .",,,,,,,,,,,,"Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Lending and Investments, Other",1,Rushd Averroes,11-50,2,,2018-06-01,1361930,GBP,1818440,Equity Crowdfunding,1361930,GBP,1818440,Equity Crowdfunding,21818440,USD,21818440,21818440,USD,21818440,Crowdcube,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.2,5,,,,
Zappyrent,https://www.crunchbase.com/organization/zappyrent,,"FinTech, Marketplace, PropTech, Real Estate, Rental Property","Milan, Lombardia, Italy",Zappyrent is a digital platform that helps home owners to transform their properties into a monthly passive income,"67,266","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2019-01-01,year,,,,,For Profit,https://www.zappyrent.com/,https://www.facebook.com/Zappyrent/,https://www.linkedin.com/company/zappyrent/,info@zappyrent.com,,"Zappyrent is a Proptech Startup that facilitates the rental of residential real estate from start to end: search, viewings, monthly payments and much more.  Tenants find their new home with an agent-like experience but saving on agency fees.  Landlords, rent faster and receive the rent money every month, same day, even if the tenant is late or in arrears.  We use technology to make the residential real estate market fast, convenient and certain.  Launched in Italy.",,,,,,,,,,,,"Commerce and Shopping, Financial Services, Real Estate",2,"Antonino Leonardi, Lino Leonardi",11-50,2,Seed,2021-12-31,2200000,EUR,2502269,Seed,2200000,EUR,2502269,Seed,2200000,EUR,2502269,2200000,EUR,2502269,"CDP Venture Capital, Azimut Holding",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.7,14,,,,
UpSurgeOn,https://www.crunchbase.com/organization/upsurgeon,,"3D Technology, Artificial Intelligence (AI), Health Care, Medical, Simulation, Training, Virtual Reality","Milan, Lombardia, Italy","UpSurgeOn is a MedTech company specialized in life-like surgical simulation, virtual/mixed reality, surgical assessment and AI.","68,701","European Union (EU), Europe, Middle East, and Africa (EMEA)",20090,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://www.upsurgeon.com/,https://www.facebook.com/upsurgeon,https://www.linkedin.com/company/upsurgeon/,info@upsurgeon.com,+39 02 41407894,"UpSurgeOn is a MedTech company that helps surgeons, scientific institutions and medical device companies worldwide to boost the transition to cadaver-free training, a booming trend in healthcare at a global level. The company developed a disruptive combination of technologies: life-like simulations, virtual/mixed reality, data collection and AI.  The solutions are currently focused on microsurgeries (neurosurgery, plastic surgery, ENT surgery, maxillofacial surgery, and spine surgery) and are expanding to several other surgical disciplines. The team is built by surgeons, digital developers, 3D artists, engineers, manufacturers, simulation artists, designers and business developers. UpSurgeOn was founded in 2017 by two neurosurgeons, Dr. Federico Nicolosi (Founder and CEO) and Dr. Giannantonio Spena (Co-founder) and is headquartered in Milan, Italy with a second branch in the US (Delaware).   UpSurgeOn's technologies are available in 99 countries today. The network of users includes more than 300 scientific institutions and more than 100 medtech companies worldwide.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Education, Hardware, Health Care, Science and Engineering, Software",2,"Federico Nicolosi, Giannantonio Spena",11-50,2,Early Stage Venture,2022-02-02,3000000,EUR,3389934,Series A,3000000,EUR,3389934,Series A,4206000,EUR,4708755,4206000,EUR,4708755,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.9,12,9,2,Education; Cryptography; Display; Advertising; Seals,Scientific and electric apparatus and instruments
Deesup,https://www.crunchbase.com/organization/deesup,,"E-Commerce, Furniture, Interior Design, Marketplace","Milan, Lombardia, Italy",Deesup is the first Italian marketplace for design lovers to sell and buy authentic second-hand home-design.,"69,257","European Union (EU), Europe, Middle East, and Africa (EMEA)",20154,$1M to $10M,Active,2017-03-10,day,,,,,For Profit,https://www.deesup.com/,https://business.facebook.com/DeesupSrl/?business_id=1111365008999591,https://www.linkedin.com/company/deesup/,info@deesup.com,,"Deesup only selects iconic furniture items which are listed by private and professional sellers. The products are promoted to a like-minded audience  and once they are sold Deesup takes care of the logistics. The company's mission is to make design accessible to everyone, by advertising it to the right audience and therefore enhancing its value. Recently the start-up launched its on-line shop all over Europe with the aim of becoming the main reference for second-hand design.",,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Design, Real Estate",2,"Daniele Ena, Valentina Cerolini",11-50,6,Early Stage Venture,2021-11-10,1400000,EUR,1608025,Series A,1400000,EUR,1608025,Series A,2490000,EUR,2855537,2490000,EUR,2855537,"Club degli Investitori, Italian Angels for Growth, ALIcrowd, LUISS ENLABS, Doorway Capital",2,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.7,3,,,,
Gyala,https://www.crunchbase.com/organization/gyala,,"Cyber Security, Information Technology, Software","Rome, Lazio, Italy",Gyala primarily offers cybersecurity solutions.,"69,343","European Union (EU), Europe, Middle East, and Africa (EMEA)",00131,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://gyala.com/,,https://www.linkedin.com/company/gyala-s-r-l/?trk=ppro_cprof,info@gyala.it,+39 06 41204467,"Gyala offers security assessments, consulting, incident management, and forensic analysis. The company's cybersecurity solutions aim to protect systems from cyber threats. Gyala has years of experience in defense systems engineering and cyber security. It has a team of ICT security specialists, secure network architects, and information security analysts.",,,,,,,,,,,,"Information Technology, Privacy and Security, Software",,,11-50,1,Seed,2022-07-27,5000000,EUR,5102775,Seed,5000000,EUR,5102775,Seed,5000000,EUR,5102775,5000000,EUR,5102775,"CDP Venture Capital, Azimut Libera Impresa, Italian Angels for Growth",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.6,8,0,3,,Scientific and electric apparatus and instruments
Dog Heroes,https://www.crunchbase.com/organization/feedo-8d93,,"Food and Beverage, Pet, Subscription Service","Milan, Lombardia, Italy","Dog Heroes delivers home recipes of fresh food, perfectly portioned to every dog's need.","71,208","European Union (EU), Europe, Middle East, and Africa (EMEA)",20124,$1M to $10M,Active,2019-05-01,month,,,,,For Profit,https://www.dogheroes.it,https://www.facebook.com/mydogheroes,https://www.linkedin.com/company/dogheroes,info@dogheroes.it,00393286746941,"Dog Heroes delivers home recipes of fresh food, perfectly portioned to every dog's need. Only high-quality local ingredients are used in tailor-made portions that are ready to serve. Customers will find 55% meat of exclusively Italian origin in the company's recipes, balanced with vegetables, vitamins, and mineral salts. Dog Heroes does not use any chemical additives or preservatives.",,,,,,,,,,,,"Community and Lifestyle, Food and Beverage, Other",3,"Gregoire Desforges, Marco Laganà, Pierluigi Consolandi",1-10,3,Seed,2023-05-02,1800000,EUR,1981903,Seed,1800000,EUR,1981903,Seed,3200000,EUR,3633759,3200000,EUR,3633759,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.2,10,0,1,,"Pharmaceutical, veterinary and sanitary products"
IPaidThat,https://www.crunchbase.com/organization/ipaidthat,,Blockchain,"Paris, Ile-de-France, France","IPaidThat automatically imports the invoices you receive, and compare them with your bank transactions.","71,730","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2017-01-01,year,2024-09-18,day,,,For Profit,https://ipaidthat.io/en/,https://www.facebook.com/pg/IPaidThat,https://www.linkedin.com/company/ipaidthat/,contact@ipaidthat.io,01 86 65 28 45,"IPaidThat automatically imports the invoices you receive, and compares them with your bank transactions, to make sure you do not forget anything.",,,,,,,,,,,,"Blockchain and Cryptocurrency, Other",1,Sébastien Claeys,11-50,3,M&A,2021-09-27,6000000,EUR,7017618,Venture - Series Unknown,6000000,EUR,7017618,Venture - Series Unknown,7000000,EUR,8138123,9000000,EUR,10477329,"Bpifrance, Truffle Capital, Adelie",2,3,,Was Acquired,IPaidThat acquired by Groupe BPCE,https://www.crunchbase.com/acquisition/groupe-bpce-acquires-ipaidthat--ad423017,Groupe BPCE,https://www.crunchbase.com/organization/groupe-bpce,2024-09-18,day,,,,Acquisition,,Private,,,,,,,,,,,,,-0.9,7,,,,
Lookmove,https://www.crunchbase.com/organization/lookmove,,"Big Data, Machine Learning, Property Management, Real Estate, Software","Lausanne, Vaud, Switzerland","Empowering smart real estate decisions with comprehensive, real-time data in Switzerland.","72,048","Europe, Middle East, and Africa (EMEA)",1007,$1M to $10M,Active,2017-10-10,day,,,,,For Profit,https://www.lookmove.ch,https://www.facebook.com/Lookmove-384577808241090/,https://www.linkedin.com/company/lookmove/,max@lookmove.ch,,"Lookmove SA, a Lausanne-based PropTech, offers Switzerland’s most powerful real estate search engine, aggregating real-time data from over 140 sources and historical data since 2018. Our technology analyses 600,000+ listings daily, consolidating 140,000 properties to help individuals and professionals make informed decisions. We provide listing feeds, APIs, datasets, and market indicators for real estate pros—developers, brokers, investors, and more. Starting December 2024, on-demand data reports will be available on lookmove.ch, enhancing property comparisons and market insights. With over CHF 4 million raised, Lookmove delivers a clear, comprehensive view of the Swiss property market. Key Metrics Funding: CHF 4 million Employees: 11-51 Listings Analyzed Daily: 600,000+ Properties Consolidated: 140,000+",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Software",1,Maxime Danibert,11-50,5,,2024-12-14,1700000,CHF,1904843,Undisclosed,1700000,CHF,1904843,Undisclosed,3950000,CHF,4221598,3950000,CHF,4221598,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.7,6,,,,
GLOBO,https://www.crunchbase.com/organization/globo-5f9f,,"Information Technology, Internet, Software","Wyncote, Pennsylvania, United States","GLOBO helps businesses like yours get the most out of their language services, submit your contact info to start the conversation.","72,263","Greater Philadelphia Area, Great Lakes, Northeastern US",19095,$10M to $50M,Active,2009-01-01,year,,,,,For Profit,https://www.helloglobo.com/,https://www.facebook.com/helloglobo/,https://www.linkedin.com/company/helloglobo/,info@helloglobo.com,800-555-3010,"GLOBO helps businesses like yours get the most out of their language services, submit your contact info to start the conversation.",,,,,,,,,,,,"Information Technology, Internet Services, Software",1,Gene Schriver,1001-5000,2,Private Equity,2022-01-11,,,,Private Equity,,,,Private Equity,300000,USD,300000,300000,USD,300000,Veronis Suhler Stevenson,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,5.6,4,,,,
ARGO,https://www.crunchbase.com/organization/argo-a513,,Logistics,"Seoul, Seoul-t'ukpyolsi, South Korea",ARGO provides a one-stop logistics system,"72,703",Asia-Pacific (APAC),,$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://www.argoport.com/,,https://www.linkedin.com/company/techtaka,,,ARGO provides a one-stop logistics system. ARGO not only manages orders and inventories but also foresees future demand to enhance efficiency for e-commerce operators.,,,,,,,,,,,,Transportation,,,51-100,4,,2024-12-17,,,,Venture - Series Unknown,,,,Venture - Series Unknown,25000000000,KRW,21991179,25000000000,KRW,21991179,"Kakao Ventures, Murex Partners, TIPS Program, NAVER D2SF, Lotte Ventures",2,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.9,1,,,,
